task_id,graph_family,cost,score,valid_train,valid_arcgen_sample,model_sha256,compressed_size,uncompressed_size
061,optimizer and simplifier passes,15681,15.339794932619,True,True,1cff9463300a3492aab348a4e6580efc19d43402d663019383be733c96b16bec,1046,16877
062,compact artifact selection,26096,14.830462675139,True,True,caacb4cf6b5864ef4c3a102d0667f83ed1b403497b90f77e498da5b52292c480,941,4028
063,compact artifact selection,29164,14.719309649074,True,True,6ca183e9e6c53719c6b0298737d74afe59c65dabae464ea9187d5334ffb53c33,813,2377
064,compact templates,45683,14.270518483571,True,True,4c4127635c0d5909d64a9ed859f156d941dc6e0df3286069c6666ec1d7e61817,1382,4415
065,compact artifact selection,34763,14.543691118246,True,True,33e13b652fa25e24072af6bcb834a9d0195bbf18764c2e18e166cdeec7363f94,796,1936
066,compact artifact selection,66729,13.891605079978,True,True,e0e6812298e935bff6c1a614cda76e4b0b4953f588e351a9fcd3d595a12f7c5f,4153,17310
067,compact artifact selection,315,19.247427361174,True,True,e823d84640b258f8322dde914f6bd992553a53aadd84d4685cd18da5f1be35e9,395,892
068,compact artifact selection,12589,15.559421304234,True,True,e490818d91a162474f9a9ed4c4d7a03517788fb18760e2fe6ca209f592660a82,716,1602
069,compact artifact selection,69444,13.851724048638,True,True,450d13a984eea0457a7df6674ce6eee2b00ceac831ef1a263d2be176809eef32,3965,18102
070,typed tail and graph surgery,11029,15.691716553694,True,True,030ac670e68a3361474d29e96b449e9b801cf17d33d236da478485a69994c898,849,2758
071,optimizer and simplifier passes,55421,14.077286137718,True,True,e6fa4e93f430a93cfa9cf2b5706013537556c9f198728f304c852c3d84e0efd2,3129,8040
072,compact artifact selection,1309,17.822981234090,True,True,ce9138206dc060641e07a1ee45e8b332b0e4bcdfe0a06d625d8668c10d6d33e5,471,1289
073,compact artifact selection,300,19.296217525344,True,True,39b945b881578a711b87c467c016520e9ec76ec54060688bc195292cf716bcd7,182,1397
074,compact artifact selection,21825,15.009188619292,True,True,8194b1eba8a395566d686766b74869219cdfdaec5105dbad5f36b6ef32435be8,671,1824
075,compact artifact selection,15081,15.378809047639,True,True,1f2f35df430244a82cb1db89347f243eda6a9e1120980b50f6c3d6fef4b792f7,719,1592
076,compact artifact selection,76022,13.761221948937,True,True,65bd1ecde7f8adfa7916d869223a467cb2d1b8480ad6ceeded4a0872969669ee,12383,41405
077,typed tail and graph surgery,64647,13.923303020589,True,True,f602920dc4c3bc1126b46f738ab152ba7c649f0c04c6ee43ef9714a58a25de8f,6637,25078
078,compact artifact selection,4766,16.530737342341,True,True,46d69447ef6654861a84389fc5a25b7ca7aa33ad05832c9c322133f97382d212,483,898
079,compact artifact selection,21383,15.029648507210,True,True,4a4f6c8381af1ed692a1d279af1ebacd591befb7b825933520d08519653c1d13,742,2695
080,typed tail and graph surgery,32855,14.600140780668,True,True,2cc83c4d51895989325d40604ed445e909f20e021248e94160cb85cb5d907920,2332,10079
081,compact artifact selection,2307,17.256296741826,True,True,118dc8373587509f07d12aec64778af91edff7253f80e273a30e5863c7b8c91b,1003,3749
082,compact artifact selection,9716,15.818470709878,True,True,c2726100feab2aab72d85e4d124b0963d797e7b9d3291bbfcb0130f30975c50d,607,1638
083,compact artifact selection,1800,17.504458056116,True,True,3526144719574eafa02b2d1fa33a4be836ec96c267520ddd982697e447b8bc98,307,7454
084,compact artifact selection,19513,15.121163810905,True,True,5bd28bac4f427d16b03dfcb9d4ae68237ccb4bb720b534e0e14b2768658ee6a0,1020,2820
085,compact artifact selection,47477,14.231999337771,True,True,7801954252bf843ff64e9c774e56251de61166e7819507b5f472a482bee2dd88,6224,17522
086,compact artifact selection,24705,14.885239068720,True,True,9dea98935944a23d9286356ff5574fecf4c5255b36378fb20279976f2240c509,1095,3120
087,compact artifact selection,368,19.091917061831,True,True,fd8bb9f6e85cbfcd68c2edb1cfd2b2968f4ef9066816b2763110e0086381148b,235,394
088,typed tail and graph surgery,50063,14.178962508724,True,True,8f9b5de77a7435568a6978a3a610e781889d46701408311d09bfa9f8664ee650,1361,4282
089,compact artifact selection,46154,14.260261089935,True,True,ea7621c9bf64971f3bff5d66d1c2bbe2042acd81d8f46ee91c07767a8db5983b,2198,10554
090,optimizer and simplifier passes,59609,14.004438151636,True,True,3dbe434109d39dc045066b90e0587e15648f8d33eceaa05d72572368331053f3,1539,5617
091,compact artifact selection,26897,14.800229964793,True,True,3c035062730da89eaebe0102bfab31211f48b1a8980f81cd358660b66423a35e,1258,3530
092,compact artifact selection,46141,14.260542795338,True,True,480562e48a97723035d7f4a67f4e3c014eef9574002f9860d0e58df9b90d931c,802,2577
093,compact artifact selection,15458,15.354118052333,True,True,cd70e073d1fdbf93b6402aa5356e8c8f09529cd3e6048fc5501c4e44bda9d3e5,1443,6234
094,compact artifact selection,10227,15.767213439194,True,True,625a1dd96cef2df19baa077c10a90a35a3b8a87019f460ec9cc769880b369833,791,3478
095,compact artifact selection,900,18.197605236676,True,True,815d55af25be44e3de7d58a76a8002749df6d7b15d3427fb458943f9feba995a,195,3797
096,typed tail and graph surgery,101244,13.474711276046,True,True,85fcc7020086e2c9781c6ef4564b4b8858a73ab485df81a15df082720a48b3fa,3011,10915
