task_id,source,template_name,route,cost,local_points,file_bytes,status,reason,sha256
46,massimilianoghiotto_6254,,crop_or_resize,33426,14.58291068075113,8068,baseline,base exp_b025,dc9a223af77a04fdb34479c3d6270f4245e82ebca587eccaacbf631d3c5ada42
47,massimilianoghiotto_6254,,sparse_edit_or_object_completion,3024,16.985664262700574,3823,baseline,base exp_b025,239d68998cf692c7ed8ec2d0991ba236037e049f951b62b2a96c7b979f91ebfa
48,massimilianoghiotto_6254,,crop_or_resize,5609,16.367872270491663,4683,baseline,base exp_b025,010a8d8bad3f868c1dc1b32f62929c87cb98b880cf291e9ad90cbc8ab094099a
49,massimilianoghiotto_6254,,crop_or_resize,30489,14.674878758194124,4016,baseline,base exp_b025,d54c1f05a6ca6f306e541c05589e3aad97ea0ad69350f211cc7cbfdebb68eff8
50,afr1ste_5689_artifact,,sparse_edit_or_object_completion,9475,15.843587970049374,2319,baseline,base exp_b025,cb39f735b098702e13b92341739f7356e38804cfdf60c041820b2eb6a97492ef
51,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,sparse_edit_or_object_completion,68429,13.866448009633856,5071,baseline,base exp_b025,db244c11627df9bcb233a30dba54a280b5aaba6c43b5351a9b333ffcac03dc90
52,massimilianoghiotto_6254,,sparse_edit_or_object_completion,1228,17.886857891292912,1342,baseline,base exp_b025,eaa6935a705434432f5c824b054299d8bb74920300df6a073ce1008f5dcc3b7c
53,massimilianoghiotto_6254,,sparse_edit_or_object_completion,30,21.598802618337846,199,baseline,base exp_b025,75d840df9317bb0b3af9bbb578c18ffa62ede8d87214bc168b822a524dc30c0c
54,massimilianoghiotto_6254,,sparse_edit_or_object_completion,150548,13.07796275080141,8874,baseline,base exp_b025,3a0d921e2928e596771eea0665420e46753aa3ac9216c663a6fce052bc43700c
55,afr1ste_5689_artifact,,same_shape_global_transform,26370,14.820017720652668,15660,baseline,base exp_b025,401b593731841bd0de4616d239d91ff8f0d678402edb0d8642ca664178ff5c2e
56,massimilianoghiotto_6254,,crop_or_resize,213,19.638707834290575,1004,baseline,base exp_b025,ca045f982c0767ff66864b342ea52e291463fa98f1c31978f29864adac7ccc01
57,massimilianoghiotto_6254,,crop_or_resize,29304,14.71452069554135,1988,baseline,base exp_b025,331ba5d00849afad185b601b65ab0baf154b765ed88a51f237d8279b666a1c40
58,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,same_shape_global_transform,16086,15.314295392535985,14552,baseline,base exp_b025,df76ab81aee567f66bbb5857dcd9384b8f2470c8328b95e39e3bf0fc66fe9619
59,afr1ste_5689_artifact,,sparse_edit_or_object_completion,20387,15.077347278202861,7242,baseline,base exp_b025,465c664ecf85570a94e7cd6da952273a0a25687b577173bcd00e438ead90dbec
60,massimilianoghiotto_6254,,sparse_edit_or_object_completion,5581,16.372876749211567,2524,baseline,base exp_b025,0e1745f47d9614c3e7846b04b62ef490805da2092f46d2fd51ef478f814928f9
61,massimilianoghiotto_6254,,sparse_edit_or_object_completion,18914,15.152342332424542,17113,baseline,base exp_b025,b02e862976b178388c60fbf8edb95affe176512fdd4774901afa1cf390950c55
62,exp_b025_submit_safe_delta_union,greedy3_Mul_node168_to_input1,same_shape_global_transform,29409,14.710943971070165,19064,baseline,base exp_b025,f9c655cd748226f207bd65df6f9f55e76dae0ebcb399fd432b1cebab50f25753
63,massimilianoghiotto_6254,,sparse_edit_or_object_completion,30732,14.666940264012474,4431,baseline,base exp_b025,c7236d3ffbcb1c64851a507a1a0cd350e6c5248c443e53e7db0069007b7c6a47
64,massimilianoghiotto_6254,,sparse_edit_or_object_completion,114153,13.354705067178468,8580,baseline,base exp_b025,2aa0e1cf57ee39e8a83c6510b523bbaffe39b7fc6fc40ede9e773339aac1ae48
65,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,crop_or_resize,35095,14.534186050835478,3206,baseline,base exp_b025,d92061c8121b1e853a1103c784cf0199810c1cc379e439ca388264bacc312274
66,franksunp_blended_best,,sparse_edit_or_object_completion,21408,15.028480037072045,25831,baseline,base exp_b025,b54cd16e8802c24172b39b5bada1241443a1c26e75067591c833db686782b4da
67,massimilianoghiotto_6254,,crop_or_resize,315,19.247427361174367,1053,baseline,base exp_b025,988b4d005f09426a7fb6b169820d02368203d8b03fc7d1b80b4f44af49e395c4
68,massimilianoghiotto_6254,,sparse_edit_or_object_completion,12589,15.55942130423374,2203,baseline,base exp_b025,27916bc7ec145fc23eff5ed5d953fc2b2b8b1722cda2bc96e9a4818155f670fe
69,massimilianoghiotto_6254,,sparse_edit_or_object_completion,84250,13.658456151785392,48710,baseline,base exp_b025,2636ff374e6f9820e554e065a8284216b6e56b938f58fe18537a6758c9d118c5
70,massimilianoghiotto_6254,,sparse_edit_or_object_completion,66138,13.90050125280863,9304,baseline,base exp_b025,bebcaa5ec997396cab47e8ca5581020105bdbaa9d51e6e268435e904acf37c00
71,massimilianoghiotto_6254,,sparse_edit_or_object_completion,129780,13.22640401182484,13061,baseline,base exp_b025,a69c55037e45a832c533c1b178cdee238246788a5bcdfb2f718515c5738f1988
72,massimilianoghiotto_6254,,crop_or_resize,1309,17.8229812340901,1389,baseline,base exp_b025,46e5bc1b0d0b2bb9f86f8ccee655f01afe21ef05ba040d8bb9cce1482dd059d0
73,massimilianoghiotto_6254,,sparse_edit_or_object_completion,910,18.186555400489105,3870,baseline,base exp_b025,991392cf02f9450481e5e836166795e50390595c68a1f05000ff7a4d6e1adb04
