exp_id,task_id,template_name,pattern,status,validation_status,baseline_cost,candidate_cost,cost_ratio,point_delta,reason,decision
exp016_top100_rewrite_campaign,286,neighbor_fill_square_5_2,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_5_3,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_5_4,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_5_5,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_5_6,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_5_7,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_5_8,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_hline_6_1,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_hline_6_2,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_vline_6_1,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_vline_6_2,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_cross_6_1,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_cross_6_2,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_cross_6_3,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_cross_6_4,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_6_1,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_6_2,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_6_3,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_6_4,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_6_5,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_6_6,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_6_7,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_6_8,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_hline_7_1,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_hline_7_2,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_vline_7_1,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_vline_7_2,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_cross_7_1,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_cross_7_2,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_cross_7_3,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_cross_7_4,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_7_1,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_7_2,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_7_3,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_7_4,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_7_5,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_7_6,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_7_7,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_7_8,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_hline_9_1,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_hline_9_2,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_vline_9_1,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_vline_9_2,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_cross_9_1,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_cross_9_2,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_cross_9_3,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_cross_9_4,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
