task_id,cost,local_points,initializer_count,initializer_params,unused_count,unused_params,duplicate_groups,duplicate_wasted_params,uniform_safe_count,uniform_safe_saveable_params,total_seddik_style_saveable,primary_category,transformations,cost_gap_to_600,cost_gap_to_250
252,38062,14.453028311923028,19,262,0,0,0,0,0,0,0,Object_Based,Object Detection | Sorting | Color Mapping,4.150042032860824,5.025510770214726
27,36791,14.486991470971319,13,7218,0,0,0,0,0,0,0,Pattern_Recognition,Object Detection | Gravity | Color Mapping | Flood Fill,4.116078873812533,4.991547611166435
76,36184,14.503627688842322,16,5030,0,0,0,0,0,0,0,Object_Based,Object Detection | Gravity | Color Mapping | Filling Regions,4.09944265594153,4.974911393295432
351,35154,14.532506311227156,7,40,0,0,0,0,0,0,0,Object_Based,Cropping | Object Detection,4.070564033556696,4.946032770910598
400,35153,14.532534757896764,6,39,0,0,0,0,0,0,0,Pattern_Recognition,Cropping | Color Mapping | Filling Regions,4.070535586887088,4.94600432424099
22,34821,14.542024067963268,25,193,0,0,0,0,0,0,0,Object_Based,Cropping | Object Detection,4.0610462768205835,4.936515014174486
278,34383,14.55468246483519,13,363,0,0,0,0,0,0,0,Pattern_Recognition,Object Detection | Color Mapping | Filling Regions,4.0483878799486614,4.9238566173025635
46,33426,14.58291068075113,26,866,0,0,0,0,0,0,0,Object_Based,Cropping | Object Detection | Gravity | Color Mapping | Filling Regions,4.020159664032722,4.895628401386624
368,32339,14.615970788806473,32,75,0,0,0,0,0,0,0,Object_Based,Translation | Object Detection | Color Mapping,3.9870995559773785,4.862568293331281
196,32242,14.618974770564057,14,67,0,0,0,0,0,0,0,Color_and_Logical,Object Detection | Color Mapping,3.984095574219795,4.859564311573697
288,31807,14.632558329669694,15,41,0,0,0,0,0,0,0,Object_Based,Translation | Object Detection | Gravity | Color Mapping | Filling Regions,3.970512015114158,4.84598075246806
244,31782,14.633344629227418,31,85,0,0,0,0,0,0,0,Pattern_Recognition,Cropping | Object Detection | Color Mapping | Filling Regions,3.969725715556434,4.845194452910336
392,30870,14.662459882503795,35,2098,0,0,0,0,0,0,0,Pattern_Recognition,Gravity | Color Mapping | Filling Regions,3.9406104622800573,4.816079199633959
63,30732,14.666940264012474,13,32,0,0,0,0,0,0,0,Color_and_Logical,Gravity | Flood Fill,3.9361300807713775,4.81159881812528
62,30609,14.670950637656585,26,929,0,0,0,0,0,0,0,Pattern_Recognition,Translation | Object Detection | Background Separation | Color Mapping | Filling Regions,3.932119707127267,4.807588444481169
49,30489,14.674878758194124,12,150,0,0,0,0,0,0,0,Object_Based,Cropping | Object Detection | Color Mapping,3.928191586589728,4.80366032394363
