task_id,task_name,source,ok,sha256,points,memory,params,cost,reason
43,task043.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,bc5e37986512a8df40d696ccb1cf91cd14b40ce53c943315c698e6c651da0e77,18.322916538752864,588,206,794,ok
44,task044.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,982c951fe6c990ff28c4d3710f2fde1ba0dc9a515eeb43887a59b69097357621,15.586555532047335,12182,70,12252,ok
45,task045.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,False,705abb769fa43025f5378bca53c2cd10771ac88312406183cbbf4d7c9a840689,0.0,,,,"InferenceError: [ShapeInferenceError] Inference error(s): (op_type:ConvTranspose, node name: output): [ShapeInferenceError] Attribute pads must not contain negative values
"
46,task046.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,ed988af5e3219bc81b275fb75197d9f2043b7111e639e186ba65ed8a57745707,17.145230816500867,2221,357,2578,ok
47,task047.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,7a9b76d46fa67b896ead9c80c3c13e8a408bb0d969aa6c4054fb74c6bb0caf58,18.240744729336306,826,36,862,ok
48,task048.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,8574642a8a525795310abdaadcb60324fdf6776432c593a71bc61e07ab83c42f,17.949010552931956,1038,116,1154,ok
49,task049.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,1926df13146ad078c6a128ef79267fa72129b2e6918c8e59305c6850a64ab4ee,19.04416263053517,252,134,386,ok
50,task050.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,647c6c07e51d261894eae431fbb8abc5e20a9ac6840dc366eb5dcf034bd1fbbc,16.705700391142763,3915,86,4001,ok
51,task051.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,5567f64beed7e5668004a6d09d1fadee58cfa818dfb2cd285d361da266427ab4,17.50279277679668,1702,101,1803,ok
52,task052.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,d7b303424b2bd257b3044e6cfd3b4c4599329029f9d3e80625f823d4d5530bb4,19.575049982518596,213,14,227,ok
53,task053.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,60b0cc9cc4c1370f8dda39b3c886378f02691a0012d61bb0492fea0ad3e8a540,21.598802618337846,0,30,30,ok
54,task054.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,0b9c4c28ec3d877b43d7cbd160e02670d9d6626f9bff2e73b0f130f5708be512,14.77207664466779,27383,282,27665,ok
55,task055.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,a5929a892a7d7963f57b4f9c8539062824e547ac8b2ca5dbb4d8cf495389fbb5,14.825531566735503,25260,965,26225,ok
56,task056.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,a5d7b219941d1f76d28f1a9315c0e6e964a5b9902a851c8055464c5060a15fc5,21.473639475383838,34,0,34,ok
57,task057.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,cb0320957f8280498ce363280dac5110fa977cd41c94e7e44668d34bb6412224,18.495711826463356,638,30,668,ok
58,task058.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,98fb28e554a23b659107872cd9cc30f259eea1b05e8f8fd438dfae64d27a1fc0,18.05977753088036,252,781,1033,ok
59,task059.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,976596a9df0fd3a2bc6840ef0a5b63ccce8a544a3b68f4a7c8dd9ee3e76fcaa0,18.677434760072714,265,292,557,ok
60,task060.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,27e18f887f20e0133d5f239bdc270687b6464349f0fd8dfd9db6cf438f89272f,18.082294390164694,0,1010,1010,ok
61,task061.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,ca895cf016d83d9fdbcadf4e03a66caa491ec02314138a789a56ccd0a62addcd,17.58061941708131,1633,35,1668,ok
62,task062.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,d9a92f2e416e510033ae29279ced0d5b15a21991aadf73373b7452fdc11f5b19,17.16165668444288,2465,71,2536,ok
63,task063.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,71c1570952a250cb74c5961297b3db37e69cba4ee6d1f9d64fe8eaec393c6910,17.393612610227347,1728,283,2011,ok
64,task064.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,1c0001f17f5e4338f315d50438f0c78a9d9b33d3113cbb890c60106b186bfaee,15.494307049267817,13368,68,13436,ok
65,task065.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,9db27fca5c1383b63ec15710657512aeff75a87392c3773c2b00a98c2805e155,18.53697054307933,582,59,641,ok
66,task066.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,3d00b1c2206bb1d1c490c247cbda8c8df7864f5355f7b47bdfd7bc7884551a08,15.07685688980543,19747,650,20397,ok
67,task067.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,4e3a67d23c2347daefc176985ee779797cdb2fd159f7a652d0c866f84ac26c71,21.14985239828994,39,8,47,ok
68,task068.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,4dff0626d4da16c33bac4c0edd9a6b73856b403fcb124505fedd4dadbedc15ca,18.565453481212547,500,123,623,ok
69,task069.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,fb09e1f07005c77adc553af07b949355f0a168ac8ab2be01ee733e889b37dfe7,16.72819596884529,3848,64,3912,ok
70,task070.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,f06e034ce99c680498f5834c66ebe091adf339a30b3f6b4866e9e5fe07b6d86c,16.99096931493027,2977,31,3008,ok
71,task071.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,53ab1a71de49ae249cdbeb668f7c6c5696e8966526cbb68b18e086cfd40e9cac,17.0997339632323,2643,55,2698,ok
72,task072.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,c4fcd4c3f9fc186b44d4f723ae3d94067131b39cdcd4c25329546a7cee4b0102,18.957367166317617,390,31,421,ok
