task_id,baseline_cost,new_cost,baseline_points,new_points,baseline_bytes,new_bytes,optimizer_level,status,reason
203,88402,88402,13.610350127195805,13.610350127195805,7171,7171,none,unchanged,extended: custom domain com.microsoft.nchwc
204,104544,104544,13.442636685599203,13.442636685599203,5559,5559,none,unchanged,extended: custom domain com.microsoft.nchwc
205,112313,112313,13.370955104619776,13.370955104619776,39030,39030,none,unchanged,extended: custom domain com.microsoft.nchwc
206,61387,61387,13.975046634666326,13.975046634666326,4900,4900,none,unchanged,extended: custom domain com.microsoft.nchwc
207,1875,1875,17.463636061595487,17.463636061595487,2718,2718,none,unchanged,extended: custom domain com.microsoft.nchwc
208,92273,92273,13.56749314667969,13.56749314667969,18209,18209,none,unchanged,extended: custom domain com.microsoft.nchwc
209,67337,67337,13.882534858321867,13.882534858321867,61236,61236,none,unchanged,extended: custom domain com.microsoft.nchwc
210,30,30,21.598802618337846,21.598802618337846,503,503,none,unchanged,extended: custom domain com.microsoft.nchwc
211,1800,1800,17.504458056115745,17.504458056115745,7476,7476,none,unchanged,extended: custom domain com.microsoft.nchwc
212,9969,9969,15.792764442977296,15.792764442977296,4967,4967,none,unchanged,extended: custom domain com.microsoft.nchwc
213,50225,50225,14.175731810316865,14.175731810316865,44339,44339,none,unchanged,extended: custom domain com.microsoft.nchwc
214,1800,1800,17.504458056115745,17.504458056115745,7476,7476,none,unchanged,extended: custom domain com.microsoft.nchwc
215,38094,38094,14.452187931601495,14.452187931601495,1952,1952,none,unchanged,extended: custom domain com.microsoft.nchwc
216,103572,103572,13.451977697992342,13.451977697992342,19717,19717,none,unchanged,extended: custom domain com.microsoft.nchwc
217,17924,17924,15.206104124093967,15.206104124093967,1684,1684,none,unchanged,extended: custom domain com.microsoft.nchwc
218,23202,23202,14.948006239164648,14.948006239164648,16279,16279,none,unchanged,extended: custom domain com.microsoft.nchwc
219,47688,47688,14.227564927100238,14.227564927100238,60615,60615,none,unchanged,extended: custom domain com.microsoft.nchwc
220,900,900,18.197605236675688,18.197605236675688,3803,3803,none,unchanged,extended: custom domain com.microsoft.nchwc
221,55869,55869,14.069235056400384,14.069235056400384,14298,14298,none,unchanged,extended: custom domain com.microsoft.nchwc
222,58035,58035,14.031198444197276,14.031198444197276,3044,3044,none,unchanged,extended: custom domain com.microsoft.nchwc
223,1800,1800,17.504458056115745,17.504458056115745,7476,7476,none,unchanged,extended: custom domain com.microsoft.nchwc
224,45458,45458,14.275455898281896,14.275455898281896,5184,5184,none,unchanged,extended: custom domain com.microsoft.nchwc
225,11078,11078,15.68728356140695,15.68728356140695,6961,6961,none,unchanged,extended: custom domain com.microsoft.nchwc
