task_id,variant,baseline_cost,candidate_cost,baseline_points,candidate_points,file_bytes,validation_status,status,reason,sha256
14,surgery_prune_unused_initializers,34852,34851,14.541134196648823,14.541162889818416,98444,24_pass_0_fail,improved,ok,5d42c849337b0130abc185e2e114ee5d07ba45a5942069a698d39c32ade760d4
15,surgery_prune_unused_initializers,900,,18.197605236675688,,,not_run,skipped,no unused initializers,
16,surgery_prune_unused_initializers,10,,22.697414907005953,,,not_run,skipped,no unused initializers,
17,surgery_prune_unused_initializers,33756,33755,14.573086541722143,14.573116166524029,81733,24_pass_0_fail,improved,ok,cd17be811639e9d4ca3a46c16e4d2870705c92901d77c336f59a623780b2154c
18,surgery_prune_unused_initializers,17468,17467,15.231874085394548,15.231931334571607,40580,24_pass_0_fail,improved,ok,005a8fa741a6d61cbaec91f90c24486926581cb08392fe556b83220dc102ea95
19,surgery_prune_unused_initializers,40027,40026,14.402690494613964,14.40271547806243,110517,25_pass_0_fail,improved,ok,fcbbffb30bcc7a327b91273828c8b8a403a7b82cab70e98eb923902c237f6817
20,surgery_prune_unused_initializers,3932,3931,16.723096518732945,16.723350874578138,5440,24_pass_0_fail,improved,ok,6875ba09c357054f37d2f6cef4eadcd3c5e88559d7f60d968d63e9eded1c0d4f
21,surgery_prune_unused_initializers,20740,20739,15.060180518216482,15.060228735386625,61868,13_pass_0_fail,improved,ok,b0040ff7eb5dff4a1761b9580e5a5fed62a5fa15929ef2d269c774ba77ad32dd
22,surgery_prune_unused_initializers,13284,13283,15.505684417503362,15.505759698867497,42793,24_pass_0_fail,improved,ok,bc46ba3d1dcffce3ae4ad093f6fa187298d8ab9b42ca7201a93d30ffb91ffcb5
23,surgery_prune_unused_initializers,10876,10875,15.705686194247638,15.705778144043116,24964,24_pass_0_fail,improved,ok,a8f6ce7afef8e8061e6d86f9f7d38dfdeb98ea67516519fe782e7c8e4b484498
24,surgery_prune_unused_initializers,9080,,15.88617052840466,,,not_run,skipped,no unused initializers,
25,surgery_prune_unused_initializers,10332,10331,15.756998845784269,15.757095637150554,23172,24_pass_0_fail,improved,ok,ab37d286507f25fe64d47b7a76ab635e41ac9fe491dd1344145edcd7387a73dd
26,surgery_prune_unused_initializers,738,,18.39605617539953,,,not_run,skipped,no unused initializers,
27,surgery_prune_unused_initializers,6716,6715,16.18775198180257,16.187900891042663,13696,24_pass_0_fail,improved,ok,2d33d4fb027de029b4eb2d12e42ae5f18f4525d0c4036e5072d2eef215ffe061
28,surgery_prune_unused_initializers,8990,,15.896131872534333,,,not_run,skipped,no unused initializers,
29,surgery_prune_unused_initializers,71140,71139,13.827594954497554,13.82760901138578,189167,24_pass_0_fail,improved,ok,2a1669b64e0e1faabebbd32bad9c4908f55b4b7f24089e2f653c1fa6fd061632
30,surgery_prune_unused_initializers,11998,,15.607504751786962,,,not_run,skipped,no unused initializers,
31,surgery_prune_unused_initializers,18616,,15.168223295017873,,,not_run,skipped,no unused initializers,
32,surgery_prune_unused_initializers,3405,,16.86699978141639,,,not_run,skipped,no unused initializers,
33,surgery_prune_unused_initializers,26076,26075,14.83122936995557,14.831267720131027,62532,24_pass_0_fail,improved,ok,e0810df36670293a581256a3c097ab7a1dcd3a426838b65b984e2dc961a00dcf
34,surgery_prune_unused_initializers,17059,17058,15.25556679731948,15.255625419120944,36268,25_pass_0_fail,improved,ok,2d16ffcfa7e508bdf922c615a9ca7f479c6282b1aa689769b521ea65e0dfb2ed
35,surgery_prune_unused_initializers,5340,5339,16.41701906804576,16.417206351499814,10688,24_pass_0_fail,improved,ok,73a53f10733f020a9c93a35aa9cf7e749ee5107228740beb2121f8286cfe5c37
36,surgery_prune_unused_initializers,15913,15912,15.325108335789816,15.325171179466192,49809,23_pass_0_fail,improved,ok,8d84c0e2c0ef2b6795d6144645891d5c250bc19db8a9cb32973b900dda457002
37,surgery_prune_unused_initializers,8380,8379,15.966396806523871,15.966516145386713,16128,24_pass_0_fail,improved,ok,be0d455d3fe084464779186fcdb8f215ed2eff8d7aa38f8aa711b35c2d9f2a64
38,surgery_prune_unused_initializers,2193,,17.306974251582112,,,not_run,skipped,no unused initializers,
39,surgery_prune_unused_initializers,7772,,16.04171718950267,,,not_run,skipped,no unused initializers,
40,surgery_prune_unused_initializers,5948,5947,16.309189692419956,16.309357830293408,11776,24_pass_0_fail,improved,ok,f35df615685146cbb49ccbe24857240223a7e2f2adda2e4a8b96bf604bf30b47
41,surgery_prune_unused_initializers,9244,9243,15.868270028605728,15.868378212735223,19586,24_pass_0_fail,improved,ok,a0c3578923cae9d0e55bf020469abde8601e11ca05bb13e9b6b11c66ffb2bddc
42,surgery_prune_unused_initializers,5784,5783,16.3371492361614,16.33732214184178,11032,24_pass_0_fail,improved,ok,d496fb69bd0cd402fa5ca86b14ceadf719cc7a00cc8e4a44c15a236d18f6087a
43,surgery_prune_unused_initializers,7119,,16.129477454896126,,,not_run,skipped,no unused initializers,
44,surgery_prune_unused_initializers,15484,15483,15.352437488302462,15.352502073183164,36484,24_pass_0_fail,improved,ok,fde7acc521c5ccc1177692d8faa30840d0b09cd084c15ffe25d78ea209eb9a46
45,surgery_prune_unused_initializers,7428,,16.0869880775274,,,not_run,skipped,no unused initializers,
46,surgery_prune_unused_initializers,19001,19000,15.147753111657469,15.147805741851423,58988,25_pass_0_fail,improved,ok,f3739f02d8c42da623a6565980b50673ff465f1259130356d4a5037bc74b4b01
47,surgery_prune_unused_initializers,3024,,16.985664262700574,,,not_run,skipped,no unused initializers,
48,surgery_prune_unused_initializers,5609,,16.367872270491663,,,not_run,skipped,no unused initializers,
49,surgery_prune_unused_initializers,21136,21135,15.041266973237894,15.04131428699911,64148,26_pass_0_fail,improved,ok,90a942214fce9b5c060e8b3d5b52463a5f3fcb6861144e7e3380372b43f79ed3
50,surgery_prune_unused_initializers,9147,9146,15.878818764343636,15.878928095782,18873,29_pass_0_fail,improved,ok,09406a6a774c2a6e706045038478f89c158583a95c4cb14f2b1dc51e87c617ee
51,surgery_prune_unused_initializers,7484,7483,16.07947731260602,16.07961093991964,15616,24_pass_0_fail,improved,ok,cb04d05c1c9620b056f33d462def65c2c79ab4e2b4ee5bb97b5eccdb3860b011
52,surgery_prune_unused_initializers,1228,,17.886857891292912,,,not_run,skipped,no unused initializers,
53,surgery_prune_unused_initializers,30,,21.598802618337846,,,not_run,skipped,no unused initializers,
54,surgery_prune_unused_initializers,52412,52411,14.133109148275524,14.133128228057634,127943,24_pass_0_fail,improved,ok,ac2727c7158e2706a974f511b0ae4864004011f34dc38f91c81b50ad347a5eb8
55,surgery_prune_unused_initializers,26370,,14.820017720652668,,,not_run,skipped,no unused initializers,
56,surgery_prune_unused_initializers,213,,19.638707834290575,,,not_run,skipped,no unused initializers,
57,surgery_prune_unused_initializers,15460,15459,15.353988677858586,15.354053363003667,47369,24_pass_0_fail,improved,ok,89c60e053b9f2c2eac345a5d34e8e0c52a2a43ffc697f84395b49b72ecc513ae
58,surgery_prune_unused_initializers,16105,,15.313114938234701,,,not_run,skipped,no unused initializers,
59,surgery_prune_unused_initializers,19164,19163,15.139211201996988,15.139263384531505,45252,24_pass_0_fail,improved,ok,88b8411369b3834ed6f27df62277b779bf6a34e49a282ca9152f458e2f2e57b4
60,surgery_prune_unused_initializers,5581,,16.372876749211567,,,not_run,skipped,no unused initializers,
61,surgery_prune_unused_initializers,18914,,15.152342332424542,,,not_run,skipped,no unused initializers,
62,surgery_prune_unused_initializers,30609,,14.670950637656585,,,not_run,skipped,no unused initializers,
63,surgery_prune_unused_initializers,26236,26235,14.825112207586374,14.825150323879187,63365,24_pass_0_fail,improved,ok,a6417dc9d0a64404a7df82046c4681d5c52fadaf5ea325257dc91e752dfd3498
64,surgery_prune_unused_initializers,10772,10771,15.71529454606851,15.71538738364923,22606,25_pass_0_fail,improved,ok,96187225a549303dfdddbf704241efc233d7f4ffceda7505162c63fb9ebfd1eb
65,surgery_prune_unused_initializers,20964,20963,15.049438040077943,15.049485742036117,61996,24_pass_0_fail,improved,ok,882ad2c4807bf89d69ae8835104b2856fde382aa4a1d05be4236bc199f40827a
66,surgery_prune_unused_initializers,10876,10875,15.705686194247638,15.705778144043116,24964,24_pass_0_fail,improved,ok,0a6c2a5a9cc9b7d6549baadb8c48a19842d647bf3664ee7d52aef0e67b2189f2
67,surgery_prune_unused_initializers,315,,19.247427361174367,,,not_run,skipped,no unused initializers,
68,surgery_prune_unused_initializers,12589,,15.55942130423374,,,not_run,skipped,no unused initializers,
69,surgery_prune_unused_initializers,18264,18263,15.187312811790369,15.187367565807959,42504,23_pass_0_fail,improved,ok,325d5f5c289dd864b2cd893b2745b2923efba5b06dc1bc76ed7b5218ba7a8612
70,surgery_prune_unused_initializers,18940,18939,15.15096863325993,15.151021432964265,45124,24_pass_0_fail,improved,ok,79bcaa26354d36e37efeda49ff98bedf459cb20d2d0c0fd7b7a0cea830bdfdb8
71,surgery_prune_unused_initializers,9503,9502,15.840637182788685,15.840742418253134,20546,23_pass_0_fail,improved,ok,64a6ee9a3ee1926c3a6468ae059ed1bd02893cd2253d966101fc3c29508d4b32
72,surgery_prune_unused_initializers,1309,,17.8229812340901,,,not_run,skipped,no unused initializers,
73,surgery_prune_unused_initializers,910,,18.186555400489105,,,not_run,skipped,no unused initializers,
74,surgery_prune_unused_initializers,21825,,15.009188619292196,,,not_run,skipped,no unused initializers,
75,surgery_prune_unused_initializers,25852,25851,14.839856753617214,14.839895436092123,62404,24_pass_0_fail,improved,ok,c82c1f74f166d45d2bc4c96c8543e48f8355d74cdd2f31f8b04384970228004f
76,surgery_prune_unused_initializers,7644,7643,16.05832369463984,16.058454524757117,16449,24_pass_0_fail,improved,ok,de94d750442a38f7a25c642add7c1b251884737032d770074b78b395859a4767
77,surgery_prune_unused_initializers,10492,10491,15.741631659013235,15.741726974268515,24004,24_pass_0_fail,improved,ok,d4939002640ecd2c335f3d0e0156f62dd289a7b8c864cca2e19e36adfdc92261
78,surgery_prune_unused_initializers,11496,,15.65024557224114,,,not_run,skipped,no unused initializers,
79,surgery_prune_unused_initializers,12836,12835,15.539990997770252,15.54006890669476,42537,24_pass_0_fail,improved,ok,af08bc27b4ccd2ff526f0c12891e983263151d3e26dbbc64bd4855bf670c957f
80,surgery_prune_unused_initializers,42082,,14.352624625200743,,,not_run,skipped,no unused initializers,
81,surgery_prune_unused_initializers,2307,,17.256296741826247,,,not_run,skipped,no unused initializers,
82,surgery_prune_unused_initializers,14421,14420,15.42355924343793,15.42362858916106,31836,23_pass_0_fail,improved,ok,1395f6e76169bdcebed7ec7e47eb3e7a4bfb8259e3af945bb058a2f2b8ee385f
83,surgery_prune_unused_initializers,1800,,17.504458056115745,,,not_run,skipped,no unused initializers,
84,surgery_prune_unused_initializers,17596,17595,15.22457311753139,15.224629950244314,39172,24_pass_0_fail,improved,ok,52f99bab93b9211ce7296f05c5f81abb441b9d64fc2ce4541005574bfaa01d11
85,surgery_prune_unused_initializers,16927,16926,15.263334740810903,15.263393819769949,39620,23_pass_0_fail,improved,ok,db766f446ec5f037a5ea4dc82a661fb47b3f496c83c6a0897edb74f5e56e5e22
86,surgery_prune_unused_initializers,25857,,14.83966336368449,,,not_run,skipped,no unused initializers,
87,surgery_prune_unused_initializers,368,,19.09191706183107,,,not_run,skipped,no unused initializers,
88,surgery_prune_unused_initializers,30660,30659,14.669285847574194,14.669318463892141,88120,25_pass_0_fail,improved,ok,a47398e5ca0a6003e4d9e90c46709c43cb2a784e5d5042e72e40d46ea9605691
89,surgery_prune_unused_initializers,11704,11703,15.63231405730004,15.632399501825233,23134,25_pass_0_fail,improved,ok,a058d458d955fd1fec2b24283767ade9d9d689f260271830a02165331619da13
90,surgery_prune_unused_initializers,8031,8030,16.00893566781154,16.00906019305919,17946,25_pass_0_fail,improved,ok,0656b1f6a315b987bfd1689af288e5e2026c2bcea572978fc6ef70c5ab4eea61
91,surgery_prune_unused_initializers,43108,43107,14.328536126283277,14.328559324102685,119085,24_pass_0_fail,improved,ok,aa4bb56f52259d5146abe9b94b6341b1813d3315b188ae8e5562a3b7de3b9dd4
92,surgery_prune_unused_initializers,24575,24574,14.890515054984633,14.890555747572483,56004,23_pass_0_fail,improved,ok,9a49ad47bcc1c86d1c6c2ad0e83148f9d466cd901c5dda44520a5aec523e0cde
93,surgery_prune_unused_initializers,12540,12539,15.563321185813088,15.563400933809461,27396,24_pass_0_fail,improved,ok,d8700c13e762c0411c8f7274eb624eacde2d0bcd960a8f10af2b60c68ec578c6
94,surgery_prune_unused_initializers,10453,,15.745355702467293,,,not_run,skipped,no unused initializers,
95,surgery_prune_unused_initializers,910,,18.186555400489105,,,not_run,skipped,no unused initializers,
96,surgery_prune_unused_initializers,26948,,14.79833563791945,,,not_run,skipped,no unused initializers,
97,surgery_prune_unused_initializers,8264,8263,15.980335989200526,15.980457003298815,18078,25_pass_0_fail,improved,ok,9e4520bdad090b6ae59c22cb652beb4e37f11789e4ebf32654345a56b4a050c1
98,surgery_prune_unused_initializers,910,,18.186555400489105,,,not_run,skipped,no unused initializers,
99,surgery_prune_unused_initializers,4910,,16.500970779211436,,,not_run,skipped,no unused initializers,
100,surgery_prune_unused_initializers,6536,,16.21491936346016,,,not_run,skipped,no unused initializers,
101,surgery_prune_unused_initializers,29436,29435,14.71002630595351,14.710060278537638,69637,24_pass_0_fail,improved,ok,9e1592d0f28a863304d991ba67a60f043b52fdd90318373214846a9328b4d226
102,surgery_prune_unused_initializers,10234,10233,15.766529210634962,15.766626928913245,23080,25_pass_0_fail,improved,ok,996868a3fd613637a35024d95f04e5b9c813da4a3a8ac01391398a464a760aa6
103,surgery_prune_unused_initializers,193,,19.737309811095116,,,not_run,skipped,no unused initializers,
104,surgery_prune_unused_initializers,3682,,16.788788638206977,,,not_run,skipped,no unused initializers,
105,surgery_prune_unused_initializers,7055,,16.138508135713085,,,not_run,skipped,no unused initializers,
106,surgery_prune_unused_initializers,1164,,17.940382371708615,,,not_run,skipped,no unused initializers,
107,surgery_prune_unused_initializers,73131,,13.799992367549814,,,not_run,skipped,no unused initializers,
108,surgery_prune_unused_initializers,1800,,17.504458056115745,,,not_run,skipped,no unused initializers,
109,surgery_prune_unused_initializers,38756,38755,14.434959138495104,14.434984941284387,107341,24_pass_0_fail,improved,ok,9adf27ccac4a6ed9c6c7938a050ef3a0040721143df022ac4734f7bd72812c8b
110,surgery_prune_unused_initializers,42364,42363,14.34594577603644,14.345969381262638,103687,24_pass_0_fail,improved,ok,0650a648f5a1769be691f9aa404b458374cd1fc29f4f040ec1f2a906e9bdbcb5
111,surgery_prune_unused_initializers,797,,18.319145321209785,,,not_run,skipped,no unused initializers,
112,surgery_prune_unused_initializers,15004,15003,15.383927888798222,15.383994539912987,33988,24_pass_0_fail,improved,ok,4ae53c87f40a98bc77e729d8e2ddf8ea71a9fdf67b7e3d1ac254e93667bad00d
113,surgery_prune_unused_initializers,30,,21.598802618337846,,,not_run,skipped,no unused initializers,
114,surgery_prune_unused_initializers,1254,,17.865906278807135,,,not_run,skipped,no unused initializers,
115,surgery_prune_unused_initializers,4122,,16.675906238549594,,,not_run,skipped,no unused initializers,
116,surgery_prune_unused_initializers,30,,21.598802618337846,,,not_run,skipped,no unused initializers,
117,surgery_prune_unused_initializers,14076,14075,15.447773501558524,15.447844546992108,31236,24_pass_0_fail,improved,ok,94da3c154dfce7c450e0777c43c782af6a571966be684ffa82a4a9171f1638b0
118,surgery_prune_unused_initializers,10001,10000,15.789559633023483,15.789659628023816,22948,25_pass_0_fail,improved,ok,02801e567a9d23e305f72f38bced37c2b3b25a0014de9416a4bbc5009f91f437
119,surgery_prune_unused_initializers,6620,6619,16.202149351068947,16.202300419881077,12160,24_pass_0_fail,improved,ok,974395762fcfcd80285573716bd349f8b5c483b79b07833e49dc1da4bfa1ed6d
120,surgery_prune_unused_initializers,910,,18.186555400489105,,,not_run,skipped,no unused initializers,
121,surgery_prune_unused_initializers,6530,,16.215837777729526,,,not_run,skipped,no unused initializers,
122,surgery_prune_unused_initializers,2510,,17.17196196787417,,,not_run,skipped,no unused initializers,
123,surgery_prune_unused_initializers,4104,,16.680282613149394,,,not_run,skipped,no unused initializers,
124,surgery_prune_unused_initializers,11673,,15.634966238347337,,,not_run,skipped,no unused initializers,
125,surgery_prune_unused_initializers,13417,,15.495722161409528,,,not_run,skipped,no unused initializers,
126,surgery_prune_unused_initializers,4028,4027,16.698974746161547,16.699223039148546,6976,24_pass_0_fail,improved,ok,c96236e27afeb8d8e29be5358e9f366e89f3aae48134f287deb2364d49b0e0dd
127,surgery_prune_unused_initializers,900,,18.197605236675688,,,not_run,skipped,no unused initializers,
128,surgery_prune_unused_initializers,48732,48731,14.205908822525702,14.205929343133523,119175,24_pass_0_fail,improved,ok,3108e82fe96d4355084d68c48d124e7cb8672cd65c09a98abb802b0aaf2a55b9
129,surgery_prune_unused_initializers,807,,18.306676331730053,,,not_run,skipped,no unused initializers,
130,surgery_prune_unused_initializers,12491,12490,15.56723633603409,15.567316396880377,42201,23_pass_0_fail,improved,ok,ae2360961733ffd47c8b445b2a32b933ffa11dac346733528f87130eacae0359
131,surgery_prune_unused_initializers,11708,11707,15.631972352188223,15.632057767520328,26180,24_pass_0_fail,improved,ok,b65544bb7bb1ce9f5563624fa6dd09ed262fdf586aafce3d3114483ae41e227d
132,surgery_prune_unused_initializers,29458,,14.709279200950512,,,not_run,skipped,no unused initializers,
133,surgery_prune_unused_initializers,59323,59322,14.009247631864403,14.009264488874813,147215,25_pass_0_fail,improved,ok,3dbdd8aa1d3de36977b24c35ea5fc4e5c08a839b6609240f8b429aa8831d25d6
134,surgery_prune_unused_initializers,12388,,15.575516458906906,,,not_run,skipped,no unused initializers,
135,surgery_prune_unused_initializers,360,,19.113895968549844,,,not_run,skipped,no unused initializers,
136,surgery_prune_unused_initializers,4837,,16.515950027177016,,,not_run,skipped,no unused initializers,
137,surgery_prune_unused_initializers,72472,,13.809044440650876,,,not_run,skipped,no unused initializers,
138,surgery_prune_unused_initializers,48467,,14.211361567031112,,,not_run,skipped,no unused initializers,
139,surgery_prune_unused_initializers,3630,,16.803012072741105,,,not_run,skipped,no unused initializers,
140,surgery_prune_unused_initializers,368,,19.09191706183107,,,not_run,skipped,no unused initializers,
141,surgery_prune_unused_initializers,14108,14107,15.445502708644057,15.445573592925498,28292,24_pass_0_fail,improved,ok,bfa0e1b55771b3ca0587251935da8525ba61d59fbc781ded1e95b813b1d5c3c0
142,surgery_prune_unused_initializers,1800,,17.504458056115745,,,not_run,skipped,no unused initializers,
143,surgery_prune_unused_initializers,3804,3803,16.75619157633472,16.75645449207174,6848,24_pass_0_fail,improved,ok,1ba0ecc482cec764d28d4ce88e5b2583b8ebe6d23d3ada578be89a73b584d808
144,surgery_prune_unused_initializers,786,,18.333043207570793,,,not_run,skipped,no unused initializers,
145,surgery_prune_unused_initializers,69757,,13.847226946929018,,,not_run,skipped,no unused initializers,
146,surgery_prune_unused_initializers,2256,,17.27865138738205,,,not_run,skipped,no unused initializers,
147,surgery_prune_unused_initializers,910,,18.186555400489105,,,not_run,skipped,no unused initializers,
148,surgery_prune_unused_initializers,22029,,14.99988495388028,,,not_run,skipped,no unused initializers,
149,surgery_prune_unused_initializers,437,,18.92006680490441,,,not_run,skipped,no unused initializers,
150,surgery_prune_unused_initializers,1014,,18.078341815848873,,,not_run,skipped,no unused initializers,
151,surgery_prune_unused_initializers,910,,18.186555400489105,,,not_run,skipped,no unused initializers,
152,surgery_prune_unused_initializers,1800,,17.504458056115745,,,not_run,skipped,no unused initializers,
153,surgery_prune_unused_initializers,11212,,15.675260087715321,,,not_run,skipped,no unused initializers,
154,surgery_prune_unused_initializers,17372,17371,15.237385006345287,15.237442571898077,39044,24_pass_0_fail,improved,ok,0ecceea7fece72423ba5a60a847aa0e46a503cfef9ca50439df1fd529cab1880
155,surgery_prune_unused_initializers,1014,,18.078341815848873,,,not_run,skipped,no unused initializers,
156,surgery_prune_unused_initializers,9503,9502,15.840637182788685,15.840742418253134,20546,23_pass_0_fail,improved,ok,05ad9b3e9582f004ffa74a9639f2f6def4517bb1d7a84ee6e68389af727933dc
157,surgery_prune_unused_initializers,24781,24780,14.882167490506012,14.882207844816866,58940,23_pass_0_fail,improved,ok,1b101d320d2bd1afebacca6c6e7c9bad003bd860ab8c2afbde36390625ca92b5
158,surgery_prune_unused_initializers,24284,24283,14.902427023749675,14.902468203974937,56324,24_pass_0_fail,improved,ok,10cdc19aa3a444134bd8901e39b4cf5999b42c20634952c52f6c5217b664f361
159,surgery_prune_unused_initializers,48740,48739,14.205744672820803,14.205765190060415,132303,24_pass_0_fail,improved,ok,6c09de9a1657f303e23651d72433549f72545097029e08343277117937b2c8ba
160,surgery_prune_unused_initializers,4586,,16.56923653658215,,,not_run,skipped,no unused initializers,
161,surgery_prune_unused_initializers,34908,34907,14.539528691716798,14.539557338855667,84615,24_pass_0_fail,improved,ok,0fc1256ee72f449217aa1b527a791aa25c45b481a2d79a4ea509c12b4dec176c
162,surgery_prune_unused_initializers,12028,12027,15.605007455891581,15.605090598689383,27844,24_pass_0_fail,improved,ok,e100fc8677700cd8151f51a343d620cb2f16ffd6fb1b045580be390edbf09bcd
163,surgery_prune_unused_initializers,17093,17092,15.253575698043733,15.253634203236084,40948,25_pass_0_fail,improved,ok,79ea882abdc86a4804373f01cdf228d70147df82e463e46c2a115b71629b0435
164,surgery_prune_unused_initializers,30,,21.598802618337846,,,not_run,skipped,no unused initializers,
165,surgery_prune_unused_initializers,27836,27835,14.765914574035259,14.765950499382392,66501,24_pass_0_fail,improved,ok,6169169471e71d5e140b2ad02aa9a04fed2ad52e8e5eb42233a1b6d31b18db78
166,surgery_prune_unused_initializers,11868,11867,15.618399018589287,15.61848328233486,27012,24_pass_0_fail,improved,ok,ff5ee67d91c069d65fba38fa0f368168446f51c474f80575e3bf157711866507
167,surgery_prune_unused_initializers,685,,18.470581161737776,,,not_run,skipped,no unused initializers,
168,surgery_prune_unused_initializers,5660,5659,16.35882082880277,16.35899752285748,9876,23_pass_0_fail,improved,ok,38115c18f7a0f56ed3d72ebebf68d54e0727c6f5ce3977b05bb8e05bb3c90df6
169,surgery_prune_unused_initializers,9788,9787,15.811087575437437,15.81118974657418,21378,24_pass_0_fail,improved,ok,a3e04ec6a556e36dfb004c60da068498cfc622f5b48e8b7e6195e2bb4ceceb83
170,surgery_prune_unused_initializers,13732,13731,15.472515845422418,15.472588670678249,45641,24_pass_0_fail,improved,ok,a59e88384358e85355524da28fb52685d14bcee7abeb0cefe98483a7b94665e8
171,surgery_prune_unused_initializers,910,,18.186555400489105,,,not_run,skipped,no unused initializers,
172,surgery_prune_unused_initializers,30,,21.598802618337846,,,not_run,skipped,no unused initializers,
173,surgery_prune_unused_initializers,8476,8475,15.95500608061181,15.955124067751349,17666,24_pass_0_fail,improved,ok,dfa4cb2dbcab5ecdb5134f7de0f2fe6e0eb895111607b9dfb26ec18b084f2d66
174,surgery_prune_unused_initializers,12964,12963,15.530068435738562,15.530145575399958,43721,24_pass_0_fail,improved,ok,7bfebfe1a355eba1d32bc7f40318b3949059c97ba4843207e9c272fa49890ee9
175,surgery_prune_unused_initializers,23859,,14.920083216374755,,,not_run,skipped,no unused initializers,
176,surgery_prune_unused_initializers,7920,,16.022853515191528,,,not_run,skipped,no unused initializers,
177,surgery_prune_unused_initializers,23172,23171,14.949300067783485,14.94934322424725,68812,24_pass_0_fail,improved,ok,4f9d0634f7d8428955bfa4c576c2385d8d993e60496251eae6dcb5a71454117b
178,surgery_prune_unused_initializers,13498,13497,15.489703194696649,15.489777282490717,41561,26_pass_0_fail,improved,ok,117fcc673965defff18a6d480fa1ff8d00b83d02893cf77ecf9878a5bfb7005c
179,surgery_prune_unused_initializers,0,,25.0,,,not_run,skipped,no unused initializers,
180,surgery_prune_unused_initializers,7450,,16.084030688626395,,,not_run,skipped,no unused initializers,
181,surgery_prune_unused_initializers,1194,,17.91493570604745,,,not_run,skipped,no unused initializers,
182,surgery_prune_unused_initializers,12365,12364,15.577374820044483,15.577455696747993,28948,25_pass_0_fail,improved,ok,2202b6610bf2927f3ffa85fb7b5a1e608399b47f5c75e8e5928812eb4558a8f4
183,surgery_prune_unused_initializers,17796,17795,15.213271008074068,15.213327202055707,55370,24_pass_0_fail,improved,ok,2d537004ce63ce9e95516b2b6784ff176c9350e0c76013237208c5f1e2b327fa
184,surgery_prune_unused_initializers,12388,12387,15.575516458906906,15.5755971854458,42281,13_pass_0_fail,improved,ok,907a2d2460fecc34c6b5a73c89583a18e72ee0ec541048e7d674e360a87b3e6e
185,surgery_prune_unused_initializers,13432,13431,15.494604801242623,15.494679253090926,43013,25_pass_0_fail,improved,ok,0714f97a041f4c183ff73b5f01507b4850cf081a2b6e509db59ed33d18a37449
186,surgery_prune_unused_initializers,364,,19.10284613236326,,,not_run,skipped,no unused initializers,
187,surgery_prune_unused_initializers,105313,,13.435307852707972,,,not_run,skipped,no unused initializers,
188,surgery_prune_unused_initializers,10664,,15.725371138141455,,,not_run,skipped,no unused initializers,
189,surgery_prune_unused_initializers,17572,17571,15.22593799490433,15.225994905242109,55242,24_pass_0_fail,improved,ok,607b57ec34122822110016a973fdb2c2b827d480c97d0eb09cdca23e0a479f4d
190,surgery_prune_unused_initializers,5852,5851,16.325461237859983,16.325632134211766,10240,24_pass_0_fail,improved,ok,c3f7855b913b6a0adcb3ca260ae69467229b7a7526df08f30708b658ae44ae3c
