task_id,shift_status,shift_reason,dr,dc,base_cost,candidate_cost,candidate_points,validation_status,status,reason
190,skip,no fixed shift,,,11204,,,,not_run,
191,skip,no fixed shift,,,73993,,,,not_run,
192,skip,no fixed shift,,,51968,,,,not_run,
193,skip,no fixed shift,,,53661,,,,not_run,
194,skip,no fixed shift,,,1800,,,,not_run,
195,skip,no fixed shift,,,14229,,,,not_run,
196,skip,no fixed shift,,,32242,,,,not_run,
197,skip,no fixed shift,,,50688,,,,not_run,
198,skip,no fixed shift,,,103821,,,,not_run,
199,skip,no fixed shift,,,16157,,,,not_run,
200,skip,no fixed shift,,,8306,,,,not_run,
201,skip,no fixed shift,,,92700,,,,not_run,
202,skip,no fixed shift,,,125720,,,,not_run,
203,skip,no fixed shift,,,88402,,,,not_run,
204,skip,no fixed shift,,,104544,,,,not_run,
205,skip,no fixed shift,,,112313,,,,not_run,
206,skip,no fixed shift,,,61387,,,,not_run,
207,skip,no fixed shift,,,1875,,,,not_run,
208,skip,no fixed shift,,,92273,,,,not_run,
209,skip,no fixed shift,,,67337,,,,not_run,
210,skip,no fixed shift,,,30,,,,not_run,
211,skip,no fixed shift,,,1800,,,,not_run,
212,skip,no fixed shift,,,9969,,,,not_run,
213,skip,no fixed shift,,,50225,,,,not_run,
214,skip,no fixed shift,,,1800,,,,not_run,
215,skip,no fixed shift,,,38094,,,,not_run,
216,skip,no fixed shift,,,103572,,,,not_run,
217,skip,no fixed shift,,,17924,,,,not_run,
218,skip,no fixed shift,,,23202,,,,not_run,
219,skip,no fixed shift,,,47688,,,,not_run,
220,skip,no fixed shift,,,900,,,,not_run,
221,skip,no fixed shift,,,55869,,,,not_run,
222,skip,no fixed shift,,,58035,,,,not_run,
223,skip,no fixed shift,,,1800,,,,not_run,
224,skip,no fixed shift,,,45458,,,,not_run,
225,skip,no fixed shift,,,11078,,,,not_run,
226,skip,no fixed shift,,,5559,,,,not_run,
227,skip,no fixed shift,,,2927,,,,not_run,
228,skip,no fixed shift,,,25086,,,,not_run,
229,skip,no fixed shift,,,1409,,,,not_run,
230,skip,no fixed shift,,,900,,,,not_run,
231,skip,no fixed shift,,,38342,,,,not_run,
232,skip,no fixed shift,,,29497,,,,not_run,
233,skip,no fixed shift,,,63540,,,,not_run,
234,skip,no fixed shift,,,81703,,,,not_run,
235,skip,no fixed shift,,,1338,,,,not_run,
236,skip,no fixed shift,,,643,,,,not_run,
237,skip,no fixed shift,,,14324,,,,not_run,
238,skip,no fixed shift,,,64372,,,,not_run,
239,skip,no fixed shift,,,94477,,,,not_run,
240,skip,no fixed shift,,,27847,,,,not_run,
241,skip,no fixed shift,,,0,,,,not_run,
242,skip,no fixed shift,,,20119,,,,not_run,
243,skip,no fixed shift,,,67878,,,,not_run,
244,skip,no fixed shift,,,31782,,,,not_run,
245,skip,no fixed shift,,,29015,,,,not_run,
246,skip,no fixed shift,,,13391,,,,not_run,
247,skip,no fixed shift,,,22031,,,,not_run,
248,skip,no fixed shift,,,6581,,,,not_run,
249,skip,no fixed shift,,,8999,,,,not_run,
250,skip,no fixed shift,,,12141,,,,not_run,
251,skip,no fixed shift,,,100580,,,,not_run,
252,skip,no fixed shift,,,38062,,,,not_run,
253,skip,no fixed shift,,,48269,,,,not_run,
254,skip,no fixed shift,,,7956,,,,not_run,
255,skip,no fixed shift,,,74403,,,,not_run,
256,skip,no fixed shift,,,21123,,,,not_run,
257,skip,no fixed shift,,,1077,,,,not_run,
258,skip,no fixed shift,,,160,,,,not_run,
259,skip,no fixed shift,,,6843,,,,not_run,
260,skip,no fixed shift,,,12474,,,,not_run,
261,skip,no fixed shift,,,200,,,,not_run,
262,skip,no fixed shift,,,3770,,,,not_run,
263,skip,no fixed shift,,,8054,,,,not_run,
264,skip,no fixed shift,,,79536,,,,not_run,
265,skip,no fixed shift,,,39162,,,,not_run,
266,skip,no fixed shift,,,910,,,,not_run,
267,skip,no fixed shift,,,1255,,,,not_run,
268,skip,no fixed shift,,,22387,,,,not_run,
269,skip,no fixed shift,,,8602,,,,not_run,
270,skip,no fixed shift,,,27301,,,,not_run,
271,skip,no fixed shift,,,28991,,,,not_run,
272,skip,no fixed shift,,,910,,,,not_run,
273,skip,no fixed shift,,,5937,,,,not_run,
274,skip,no fixed shift,,,8581,,,,not_run,
275,skip,no fixed shift,,,83879,,,,not_run,
276,skip,no fixed shift,,,10,,,,not_run,
277,skip,no fixed shift,,,14617,,,,not_run,
278,skip,no fixed shift,,,34383,,,,not_run,
279,skip,no fixed shift,,,26330,,,,not_run,
280,skip,no fixed shift,,,90506,,,,not_run,
281,skip,no fixed shift,,,88615,,,,not_run,
282,skip,no fixed shift,,,900,,,,not_run,
283,skip,no fixed shift,,,910,,,,not_run,
284,skip,no fixed shift,,,102032,,,,not_run,
285,skip,no fixed shift,,,151996,,,,not_run,
286,skip,no fixed shift,,,162200,,,,not_run,
287,skip,no fixed shift,,,22566,,,,not_run,
288,skip,no fixed shift,,,31807,,,,not_run,
289,skip,no fixed shift,,,24972,,,,not_run,
290,skip,no fixed shift,,,11708,,,,not_run,
291,skip,no fixed shift,,,4327,,,,not_run,
292,skip,no fixed shift,,,6305,,,,not_run,
293,skip,no fixed shift,,,24771,,,,not_run,
294,skip,no fixed shift,,,910,,,,not_run,
295,skip,no fixed shift,,,12190,,,,not_run,
296,skip,no fixed shift,,,4115,,,,not_run,
297,skip,no fixed shift,,,9172,,,,not_run,
298,skip,no fixed shift,,,14948,,,,not_run,
299,skip,no fixed shift,,,1790,,,,not_run,
300,skip,no fixed shift,,,77546,,,,not_run,
301,skip,no fixed shift,,,64988,,,,not_run,
302,skip,no fixed shift,,,7796,,,,not_run,
303,skip,no fixed shift,,,80710,,,,not_run,
304,skip,no fixed shift,,,14494,,,,not_run,
305,skip,no fixed shift,,,3952,,,,not_run,
306,skip,no fixed shift,,,64444,,,,not_run,
307,skip,no fixed shift,,,1800,,,,not_run,
