task_id,mapping_status,mapping_reason,inverse_indices,base_cost,candidate_cost,candidate_points,validation_status,status,reason
244,skip,shape mismatch example 0,,31782,,,,not_run,
245,skip,conflict color 0: 0 vs 2 at example 0,,29015,,,,not_run,
246,skip,conflict color 0: 0 vs 8 at example 0,,13391,,,,not_run,
247,skip,shape mismatch example 0,,22031,,,,not_run,
248,skip,conflict color 0: 0 vs 1 at example 0,,6581,,,,not_run,
249,skip,shape mismatch example 0,,8999,,,,not_run,
250,skip,conflict color 0: 0 vs 5 at example 0,,12141,,,,not_run,
251,skip,conflict color 0: 0 vs 1 at example 0,,100580,,,,not_run,
252,skip,conflict color 2: 2 vs 4 at example 0,,38062,,,,not_run,
253,skip,shape mismatch example 0,,48269,,,,not_run,
254,skip,conflict color 5: 1 vs 0 at example 0,,7956,,,,not_run,
255,skip,conflict color 0: 0 vs 3 at example 0,,74403,,,,not_run,
256,skip,conflict color 0: 3 vs 0 at example 0,,21123,,,,not_run,
257,skip,shape mismatch example 0,,1077,,,,not_run,
258,skip,conflict color 0: 2 vs 0 at example 0,,160,,,,not_run,
259,skip,shape mismatch example 0,,6843,,,,not_run,
260,skip,conflict color 0: 0 vs 7 at example 0,,12474,,,,not_run,
261,skip,conflict color 8: 0 vs 2 at example 0,,200,,,,not_run,
262,skip,conflict color 0: 3 vs 4 at example 0,,3770,,,,not_run,
263,skip,shape mismatch example 0,,8054,,,,not_run,
264,skip,shape mismatch example 0,,79536,,,,not_run,
265,skip,conflict color 0: 0 vs 2 at example 0,,39162,,,,not_run,
266,skip,conflict color 0: 3 vs 0 at example 0,,910,,,,not_run,
267,skip,conflict color 2: 4 vs 0 at example 2,,1255,,,,not_run,
268,skip,conflict color 0: 0 vs 4 at example 0,,22387,,,,not_run,
269,skip,shape mismatch example 0,,8602,,,,not_run,
270,skip,conflict color 0: 0 vs 3 at example 0,,27301,,,,not_run,
271,skip,shape mismatch example 0,,28991,,,,not_run,
272,skip,conflict color 2: 2 vs 1 at example 0,,910,,,,not_run,
273,skip,conflict color 0: 0 vs 2 at example 0,,5937,,,,not_run,
274,skip,shape mismatch example 0,,8581,,,,not_run,
275,skip,shape mismatch example 0,,83879,,,,not_run,
276,skip,non-injective mapping cannot be represented by single Gather,0 1 2 3 4 5 2 7 8 9,10,,,,not_run,
277,skip,conflict color 8: 2 vs 1 at example 0,,14617,,,,not_run,
278,skip,conflict color 0: 0 vs 3 at example 0,,34383,,,,not_run,
279,skip,conflict color 1: 8 vs 1 at example 0,,26330,,,,not_run,
280,skip,conflict color 0: 0 vs 3 at example 0,,90506,,,,not_run,
281,skip,conflict color 2: 2 vs 1 at example 0,,88615,,,,not_run,
282,skip,conflict color 0: 0 vs 5 at example 0,,900,,,,not_run,
283,skip,conflict color 5: 1 vs 4 at example 0,,910,,,,not_run,
284,skip,conflict color 0: 0 vs 2 at example 0,,102032,,,,not_run,
285,skip,conflict color 0: 0 vs 2 at example 0,,151996,,,,not_run,
286,skip,conflict color 0: 3 vs 2 at example 0,,162200,,,,not_run,
287,skip,conflict color 4: 3 vs 8 at example 0,,22566,,,,not_run,
288,skip,conflict color 0: 4 vs 0 at example 0,,31807,,,,not_run,
289,skip,shape mismatch example 0,,24972,,,,not_run,
290,skip,shape mismatch example 0,,11708,,,,not_run,
291,skip,shape mismatch example 0,,4327,,,,not_run,
292,skip,conflict color 4: 6 vs 4 at example 0,,6305,,,,not_run,
293,skip,conflict color 8: 8 vs 3 at example 0,,24771,,,,not_run,
294,skip,conflict color 5: 5 vs 2 at example 0,,910,,,,not_run,
295,skip,shape mismatch example 0,,12190,,,,not_run,
296,skip,shape mismatch example 0,,4115,,,,not_run,
297,skip,conflict color 0: 2 vs 1 at example 0,,9172,,,,not_run,
298,skip,conflict color 0: 2 vs 6 at example 1,,14948,,,,not_run,
299,skip,conflict color 0: 0 vs 2 at example 0,,1790,,,,not_run,
300,skip,shape mismatch example 0,,77546,,,,not_run,
301,skip,conflict color 0: 0 vs 3 at example 0,,64988,,,,not_run,
302,skip,conflict color 0: 0 vs 8 at example 0,,7796,,,,not_run,
303,skip,conflict color 0: 0 vs 2 at example 0,,80710,,,,not_run,
304,skip,shape mismatch example 0,,14494,,,,not_run,
305,skip,conflict color 0: 3 vs 4 at example 0,,3952,,,,not_run,
306,skip,conflict color 0: 0 vs 7 at example 0,,64444,,,,not_run,
307,skip,shape mismatch example 0,,1800,,,,not_run,
308,skip,shape mismatch example 0,,21799,,,,not_run,
309,skip,non-injective mapping cannot be represented by single Gather,0 1 2 3 4 5 6 5 8 9,10,,,,not_run,
310,skip,shape mismatch example 0,,25739,,,,not_run,
311,skip,shape mismatch example 0,,30,,,,not_run,
312,skip,conflict color 5: 1 vs 2 at example 0,,9979,,,,not_run,
313,skip,conflict color 3: 6 vs 7 at example 0,,83572,,,,not_run,
314,skip,conflict color 1: 1 vs 4 at example 0,,8594,,,,not_run,
315,skip,shape mismatch example 0,,9557,,,,not_run,
316,skip,shape mismatch example 0,,3903,,,,not_run,
317,skip,conflict color 0: 1 vs 0 at example 0,,900,,,,not_run,
318,skip,shape mismatch example 0,,739,,,,not_run,
319,skip,shape mismatch example 0,,18368,,,,not_run,
320,skip,conflict color 2: 2 vs 8 at example 0,,5190,,,,not_run,
321,skip,shape mismatch example 0,,5511,,,,not_run,
322,skip,conflict color 0: 0 vs 6 at example 0,,867,,,,not_run,
323,skip,conflict color 0: 0 vs 5 at example 0,,4533,,,,not_run,
324,skip,conflict color 8: 8 vs 1 at example 0,,48870,,,,not_run,
325,skip,shape mismatch example 0,,43022,,,,not_run,
326,skip,shape mismatch example 0,,160,,,,not_run,
327,skip,shape mismatch example 0,,7548,,,,not_run,
328,skip,conflict color 0: 0 vs 1 at example 0,,68053,,,,not_run,
329,skip,conflict color 3: 3 vs 0 at example 1,,10260,,,,not_run,
330,skip,conflict color 5: 2 vs 1 at example 0,,59024,,,,not_run,
331,skip,conflict color 0: 0 vs 2 at example 0,,910,,,,not_run,
332,skip,conflict color 5: 5 vs 3 at example 0,,8990,,,,not_run,
333,skip,conflict color 0: 0 vs 1 at example 0,,24893,,,,not_run,
334,skip,shape mismatch example 0,,609,,,,not_run,
