task_id,source,template_name,route,cost,local_points,file_bytes,status,reason,sha256
88,exp016_signature_scatternd_lookup,signature_scatternd_lookup,crop_or_resize,30660,14.669285847574194,88152,baseline,no accepted lower-cost boundary flood candidate,637effaecf0fabe957e9e8fe7edee822e4a6a3d6ae36c7e3833e2699f30f498e
89,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,11704,15.63231405730004,23166,baseline,no accepted lower-cost boundary flood candidate,a2b3bfc5d7d57baeed27b1dc8aea8d98b6837b23e50b77c651d1c11ea71ad31d
90,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,8031,16.00893566781154,17978,baseline,no accepted lower-cost boundary flood candidate,f5f5ba6774434afc7ebf72723623b91390cba9bc5005fef92a60525cdd40f3c7
91,exp016_signature_scatternd_lookup,signature_scatternd_lookup,crop_or_resize,43108,14.328536126283277,119117,baseline,no accepted lower-cost boundary flood candidate,a6ad8dcd089a6332e8ca379e7cfe4c02d120a0f9113514e1a40bd5519ef9a0d0
92,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,24575,14.890515054984633,56036,baseline,no accepted lower-cost boundary flood candidate,a353f1c07c4fc4c5aae811515e041eeb3b9efad421d314b9169578f8cfc11c14
93,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,12540,15.563321185813088,27428,baseline,no accepted lower-cost boundary flood candidate,5e70fbad60533c1273efcb4b05413bd67ddb054f8605c6a6d1068a17847f92eb
94,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,10453,15.745355702467293,3609,baseline,no accepted lower-cost boundary flood candidate,247e80235214b0cdacfa5f9122d852506d8c5380855206abfb9959f6fd2e2710
95,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,910,18.186555400489105,3953,baseline,no accepted lower-cost boundary flood candidate,865104aaf1de4802da48ad310fb91506cfe1860a7c84b36fe13957343885add3
96,kojimar_5800_minimal_blend,baseline,crop_or_resize,26948,14.79833563791945,20402,baseline,no accepted lower-cost boundary flood candidate,b647d07916e8b1707b56146b7d54045d91eae88812c7aaf9add6ee06f98eedc9
97,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,8264,15.980335989200526,18110,baseline,no accepted lower-cost boundary flood candidate,e38633c52e1af64fbb1be9dafca0167a4d47e0920ce1cee51ec5ee71a08e24eb
98,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,910,18.186555400489105,3880,baseline,no accepted lower-cost boundary flood candidate,a8f900b509645e6f976a19b886bfbb64685e0fdee99c5ec60fc805eed20545b5
99,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,4910,16.500970779211436,19883,baseline,no accepted lower-cost boundary flood candidate,13c2688a6bd6e25b5c28222b9c6588a03331ca87ad519c802684b82e48003f39
100,massimilianoghiotto_6254,baseline,crop_or_resize,6536,16.21491936346016,3692,baseline,no accepted lower-cost boundary flood candidate,8c748402a0b5a6ada7e59e17f0aea9d0c659dd4d2b8e6cddc78f00dd7f07cb54
101,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,29436,14.71002630595351,69669,baseline,no accepted lower-cost boundary flood candidate,9d9f3b14a9fca907fc2e498fe4a9994dd3b57d5da7b77b6b0a56c7dfff2f11d7
102,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,10234,15.766529210634962,23112,baseline,no accepted lower-cost boundary flood candidate,e0560989a3a49d21c23a5d17b5a61eae32220f0798d558c80868396fb29b0cb1
103,massimilianoghiotto_6254,baseline,crop_or_resize,193,19.737309811095116,1251,baseline,no accepted lower-cost boundary flood candidate,5f05cc6429e5550d5dd1989dc3cba7458d3ab1a71d492ebb7f08055433691f6e
104,massimilianoghiotto_6254,baseline,crop_or_resize,3682,16.788788638206977,4136,baseline,no accepted lower-cost boundary flood candidate,0aedc18c90a29ba76a2c20f7c3660eaa9148e5eb111fd2ebf0afbd8e9504ea7a
105,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,7055,16.138508135713085,8010,baseline,no accepted lower-cost boundary flood candidate,52a7d23fda26b2f35619414e5bd5c24e5ee1f0da5200949d7fa76312ab677e4f
