idx,output_shape,component_count,largest_ok,max_color_ok,max_color_matches_largest,largest_color,largest_size,largest_bbox,max_color,max_color_bbox
55,2x5,3,True,True,True,7,10,"8,3,10,8",7,"8,3,10,8"
56,1x2,3,False,False,True,2,5,"5,0,7,3",2,"5,0,7,3"
57,4x1,3,False,False,True,8,6,"6,5,10,7",8,"6,5,10,7"
58,2x4,3,True,True,True,3,8,"0,3,2,7",3,"0,3,2,7"
59,3x2,3,True,True,True,2,6,"4,1,7,3",2,"4,1,7,3"
60,2x4,3,True,True,True,3,8,"5,0,7,4",3,"5,0,7,4"
61,4x3,3,True,True,True,7,12,"5,6,9,9",7,"5,6,9,9"
62,2x5,3,True,True,True,9,10,"2,0,4,5",9,"2,0,4,5"
63,2x5,3,True,True,True,9,10,"7,2,9,7",9,"7,2,9,7"
64,4x3,3,True,True,True,5,12,"5,1,9,4",5,"5,1,9,4"
65,2x2,3,False,False,True,9,7,"6,5,10,7",9,"6,5,10,7"
66,2x4,3,True,True,True,8,8,"0,0,2,4",8,"0,0,2,4"
67,2x5,3,True,True,True,5,10,"7,2,9,7",5,"7,2,9,7"
68,5x2,3,True,True,True,1,10,"5,1,10,3",1,"5,1,10,3"
69,2x3,3,False,False,True,4,8,"1,3,3,8",4,"1,3,3,8"
70,2x2,3,False,False,True,4,9,"4,6,9,8",4,"4,6,9,8"
71,3x2,3,False,False,True,3,9,"5,0,7,5",3,"5,0,7,5"
72,2x3,3,False,False,True,6,7,"0,8,4,10",6,"0,8,4,10"
73,2x5,3,True,True,True,2,10,"0,4,2,9",2,"0,4,2,9"
74,3x4,3,True,True,True,2,12,"0,0,3,4",2,"0,0,3,4"
75,3x4,3,True,True,True,3,12,"2,1,5,5",3,"2,1,5,5"
76,3x2,3,False,False,True,6,8,"1,4,3,9",6,"1,4,3,9"
77,5x2,3,True,True,True,1,10,"2,7,7,9",1,"2,7,7,9"
78,4x3,3,True,True,True,5,12,"3,6,7,9",5,"3,6,7,9"
79,3x3,3,True,True,True,1,9,"2,0,5,3",1,"2,0,5,3"
80,2x3,3,False,False,True,9,8,"0,7,4,10",9,"0,7,4,10"
81,3x2,3,False,False,True,2,9,"4,0,8,3",2,"4,0,8,3"
82,2x4,3,True,True,True,6,8,"0,1,2,5",6,"0,1,2,5"
83,2x5,3,True,True,True,4,10,"4,0,6,5",4,"4,0,6,5"
84,3x2,3,False,False,True,1,9,"2,5,4,10",1,"2,5,4,10"
85,2x3,3,False,False,True,2,8,"4,0,7,4",2,"4,0,7,4"
86,4x2,3,True,True,True,7,8,"1,6,5,8",7,"1,6,5,8"
87,3x2,3,False,False,True,7,7,"8,3,10,7",7,"8,3,10,7"
88,2x2,3,False,False,True,4,10,"0,0,4,3",4,"0,0,4,3"
89,2x2,3,False,False,True,7,8,"8,1,10,6",7,"8,1,10,6"
90,2x2,3,False,False,True,2,11,"0,6,3,10",2,"0,6,3,10"
91,2x2,3,False,False,True,9,9,"8,3,10,8",9,"8,3,10,8"
92,2x5,3,True,True,True,8,10,"2,1,4,6",8,"2,1,4,6"
93,3x2,3,False,False,True,4,8,"2,4,5,8",4,"2,4,5,8"
94,2x5,3,True,True,True,5,10,"2,2,4,7",5,"2,2,4,7"
95,3x3,3,False,False,True,7,10,"1,5,4,9",7,"1,5,4,9"
96,2x5,3,True,True,True,4,10,"2,0,4,5",4,"2,0,4,5"
97,4x2,3,True,True,True,3,8,"5,8,9,10",3,"5,8,9,10"
98,3x2,3,False,False,True,4,7,"1,1,4,5",4,"1,1,4,5"
99,2x2,3,False,False,True,6,7,"4,6,7,9",6,"4,6,7,9"
100,2x2,3,False,False,True,5,7,"7,5,9,9",5,"7,5,9,9"
101,4x3,3,True,True,True,3,12,"6,1,10,4",3,"6,1,10,4"
102,4x3,3,True,True,True,9,10,"0,0,4,3",9,"0,0,4,3"
103,2x3,3,True,True,True,9,6,"8,4,10,7",9,"8,4,10,7"
104,2x5,3,True,True,True,7,10,"5,1,7,6",7,"5,1,7,6"
105,2x2,3,False,False,True,4,7,"4,2,7,5",4,"4,2,7,5"
106,2x3,3,True,True,True,8,6,"7,7,9,10",8,"7,7,9,10"
107,2x4,3,False,False,True,3,9,"0,5,3,9",3,"0,5,3,9"
108,2x2,3,False,False,True,5,7,"6,2,8,6",5,"6,2,8,6"
109,2x3,3,True,True,True,7,6,"6,3,8,6",7,"6,3,8,6"
110,3x4,3,True,True,True,2,12,"1,0,4,4",2,"1,0,4,4"
111,2x3,3,False,False,True,7,7,"3,7,6,10",7,"3,7,6,10"
112,4x3,3,True,True,True,9,12,"5,3,9,6",9,"5,3,9,6"
113,4x3,3,True,True,True,3,12,"1,7,5,10",3,"1,7,5,10"
114,2x5,3,True,True,True,4,10,"8,5,10,10",4,"8,5,10,10"
115,3x3,3,True,True,True,2,9,"0,7,3,10",2,"0,7,3,10"
116,3x2,3,False,False,True,8,9,"0,6,3,10",8,"0,6,3,10"
117,2x2,3,False,False,True,3,5,"1,0,3,3",3,"1,0,3,3"
118,2x3,3,False,False,True,2,8,"7,0,10,4",2,"7,0,10,4"
119,2x4,3,True,True,True,2,8,"2,2,4,6",2,"2,2,4,6"
120,3x1,3,False,False,True,3,7,"0,1,4,3",3,"0,1,4,3"
121,3x2,3,True,True,True,3,6,"6,5,9,7",3,"6,5,9,7"
122,2x5,3,True,True,True,3,10,"8,5,10,10",3,"8,5,10,10"
123,2x5,3,True,True,True,3,10,"1,0,3,5",3,"1,0,3,5"
124,2x3,3,False,False,True,5,11,"5,5,8,9",5,"5,5,8,9"
125,3x4,3,True,True,True,1,12,"7,2,10,6",1,"7,2,10,6"
126,3x2,3,False,False,True,4,6,"0,6,3,9",4,"0,6,3,9"
127,2x5,3,False,False,True,3,10,"5,6,8,10",3,"5,6,8,10"
128,2x5,3,True,True,True,8,10,"0,2,2,7",8,"0,2,2,7"
129,2x4,3,True,True,True,8,8,"3,6,5,10",8,"3,6,5,10"
130,2x5,3,True,True,True,7,10,"5,2,7,7",7,"5,2,7,7"
131,4x3,3,True,True,True,1,12,"6,0,10,3",1,"6,0,10,3"
132,2x2,3,False,False,True,8,8,"6,5,9,9",8,"6,5,9,9"
133,2x4,3,False,False,True,6,8,"2,6,6,9",6,"2,6,6,9"
134,2x3,3,False,False,True,3,7,"1,0,3,4",3,"1,0,3,4"
135,3x3,3,False,False,True,6,9,"6,5,8,10",6,"6,5,8,10"
136,2x2,3,False,False,True,5,9,"4,5,6,10",5,"4,5,6,10"
137,5x2,3,True,True,True,3,10,"2,7,7,9",3,"2,7,7,9"
138,3x4,3,True,True,True,9,12,"6,4,9,8",9,"6,4,9,8"
139,2x2,3,False,False,True,4,7,"4,8,8,10",4,"4,8,8,10"
140,3x2,3,False,False,True,2,8,"7,3,9,8",2,"7,3,9,8"
141,4x2,3,False,False,True,5,9,"1,1,3,6",5,"1,1,3,6"
142,3x4,3,True,True,True,3,12,"0,4,3,8",3,"0,4,3,8"
143,3x3,3,False,False,True,2,9,"0,0,2,5",2,"0,0,2,5"
144,3x4,3,True,True,True,8,12,"6,0,9,4",8,"6,0,9,4"
145,2x5,3,True,True,True,1,10,"2,4,4,9",1,"2,4,4,9"
146,4x2,3,True,True,True,3,8,"1,2,5,4",3,"1,2,5,4"
147,3x4,3,True,True,True,9,12,"1,3,4,7",9,"1,3,4,7"
148,4x2,3,False,False,True,7,11,"7,1,10,5",7,"7,1,10,5"
149,3x2,3,True,True,True,1,6,"4,3,7,5",1,"4,3,7,5"
150,2x4,3,False,False,True,4,9,"2,2,5,6",4,"2,2,5,6"
151,3x2,3,False,False,True,4,7,"7,1,9,5",4,"7,1,9,5"
152,2x4,3,False,False,True,4,8,"3,0,8,2",4,"3,0,8,2"
153,3x4,3,True,True,True,1,12,"5,1,8,5",1,"5,1,8,5"
154,3x2,3,False,False,True,4,9,"8,3,10,8",4,"8,3,10,8"
155,2x4,3,True,True,True,3,8,"1,2,3,6",3,"1,2,3,6"
156,2x3,3,False,False,True,4,7,"5,0,9,2",4,"5,0,9,2"
157,3x2,3,False,False,True,2,6,"3,5,6,8",2,"3,5,6,8"
158,2x2,3,False,False,True,2,5,"4,6,6,9",2,"4,6,6,9"
159,3x4,3,True,True,True,8,12,"7,0,10,4",8,"7,0,10,4"
160,2x3,3,False,False,True,9,9,"0,0,2,5",9,"0,0,2,5"
161,3x2,3,True,True,True,1,6,"4,6,7,8",1,"4,6,7,8"
162,2x4,3,False,False,True,7,9,"6,4,8,9",7,"6,4,8,9"
163,3x1,3,False,False,True,1,7,"6,4,10,6",1,"6,4,10,6"
164,5x2,3,True,True,True,8,10,"5,6,10,8",8,"5,6,10,8"
165,2x5,3,True,True,True,3,10,"2,0,4,5",3,"2,0,4,5"
166,3x2,3,True,True,True,2,6,"4,5,7,7",2,"4,5,7,7"
167,3x2,3,False,False,True,6,8,"1,2,4,5",6,"1,2,4,5"
168,2x2,3,False,False,True,4,9,"0,2,2,7",4,"0,2,2,7"
169,4x2,3,False,False,True,8,9,"2,0,5,4",8,"2,0,5,4"
170,5x2,3,True,True,True,6,10,"3,0,8,2",6,"3,0,8,2"
171,3x3,3,True,True,True,4,9,"5,3,8,6",4,"5,3,8,6"
172,3x4,3,True,True,True,8,12,"3,6,6,10",8,"3,6,6,10"
173,3x4,3,True,True,True,5,12,"2,5,5,9",5,"2,5,5,9"
174,3x3,3,True,True,True,1,9,"4,6,7,9",1,"4,6,7,9"
175,2x3,3,False,False,True,2,10,"6,7,10,10",2,"6,7,10,10"
176,2x3,3,False,False,True,9,9,"4,7,9,9",9,"4,7,9,9"
177,2x2,3,False,False,True,8,7,"4,1,6,5",8,"4,1,6,5"
178,2x4,3,True,True,True,6,8,"1,5,3,9",6,"1,5,3,9"
179,2x3,3,False,False,True,2,7,"0,4,2,8",2,"0,4,2,8"
180,2x3,3,True,True,True,7,6,"0,0,2,3",7,"0,0,2,3"
181,2x4,3,False,False,True,4,9,"3,3,5,8",4,"3,3,5,8"
182,2x3,3,True,True,True,1,6,"8,7,10,10",1,"8,7,10,10"
183,3x3,3,True,True,True,3,9,"1,4,4,7",3,"1,4,4,7"
184,3x2,3,True,True,True,2,6,"1,4,4,6",2,"1,4,4,6"
185,2x3,3,False,False,True,2,8,"5,0,8,4",2,"5,0,8,4"
186,2x2,3,False,False,True,9,9,"7,4,10,8",9,"7,4,10,8"
187,2x3,3,False,False,True,2,6,"2,6,6,8",2,"2,6,6,8"
188,3x3,3,True,True,True,6,9,"7,0,10,3",6,"7,0,10,3"
189,2x1,3,False,False,True,3,7,"3,3,6,6",3,"3,3,6,6"
190,4x2,3,False,False,True,5,11,"0,4,3,8",5,"0,4,3,8"
191,2x2,3,False,False,True,2,7,"1,5,5,7",2,"1,5,5,7"
192,4x3,3,True,True,True,9,12,"6,5,10,8",9,"6,5,10,8"
193,2x1,3,False,False,True,3,7,"7,1,9,5",3,"7,1,9,5"
194,2x3,3,False,False,True,2,9,"4,3,8,6",2,"4,3,8,6"
195,3x4,3,True,True,True,1,12,"6,0,9,4",1,"6,0,9,4"
196,2x5,3,True,True,True,6,10,"7,1,9,6",6,"7,1,9,6"
197,2x4,3,True,True,True,3,8,"0,2,2,6",3,"0,2,2,6"
198,2x3,3,False,False,True,5,9,"0,0,2,5",5,"0,0,2,5"
199,2x1,3,False,False,True,2,10,"0,2,3,6",2,"0,2,3,6"
200,4x3,3,True,True,True,6,12,"4,7,8,10",6,"4,7,8,10"
201,5x1,3,False,False,True,4,7,"4,4,6,8",4,"4,4,6,8"
202,3x2,3,True,True,True,9,6,"5,8,8,10",9,"5,8,8,10"
203,3x4,3,True,True,True,9,12,"0,1,3,5",9,"0,1,3,5"
204,1x5,3,False,False,True,2,9,"3,3,5,8",2,"3,3,5,8"
205,4x2,3,False,False,True,9,10,"7,5,10,9",9,"7,5,10,9"
206,3x3,3,False,False,True,5,11,"7,4,10,8",5,"7,4,10,8"
207,2x5,3,True,True,True,6,10,"0,1,2,6",6,"0,1,2,6"
208,4x3,3,True,True,True,2,12,"5,0,9,3",2,"5,0,9,3"
209,4x2,3,True,True,True,3,8,"5,0,9,2",3,"5,0,9,2"
210,3x2,3,True,True,True,1,6,"1,5,4,7",1,"1,5,4,7"
211,5x2,3,True,True,True,3,10,"1,0,6,2",3,"1,0,6,2"
212,5x2,3,False,False,True,3,11,"1,2,5,5",3,"1,2,5,5"
213,3x4,3,True,True,True,4,12,"6,4,9,8",4,"6,4,9,8"
214,3x4,3,True,True,True,3,12,"3,0,6,4",3,"3,0,6,4"
215,2x3,3,False,False,True,2,9,"3,5,6,9",2,"3,5,6,9"
216,2x2,3,False,False,True,1,7,"5,4,7,8",1,"5,4,7,8"
217,4x2,3,True,True,True,5,8,"6,7,10,9",5,"6,7,10,9"
218,4x2,3,False,False,True,1,10,"7,3,10,7",1,"7,3,10,7"
219,1x2,3,False,False,True,9,7,"6,0,8,4",9,"6,0,8,4"
220,3x3,3,True,True,True,7,9,"4,6,7,9",7,"4,6,7,9"
221,3x3,3,True,True,True,8,9,"7,5,10,8",8,"7,5,10,8"
222,2x3,3,False,False,True,1,9,"8,1,10,6",1,"8,1,10,6"
223,3x4,3,True,True,True,1,12,"6,0,9,4",1,"6,0,9,4"
224,2x5,3,True,True,True,1,10,"8,2,10,7",1,"8,2,10,7"
225,2x3,3,False,False,True,2,9,"3,6,6,10",2,"3,6,6,10"
226,3x2,3,True,True,True,4,6,"0,1,3,3",4,"0,1,3,3"
227,3x2,3,True,True,True,6,6,"3,4,6,6",6,"3,4,6,6"
228,2x4,3,False,False,True,1,9,"0,4,2,9",1,"0,4,2,9"
229,2x5,3,True,True,True,3,10,"0,4,2,9",3,"0,4,2,9"
230,2x2,3,False,False,True,1,6,"7,1,9,5",1,"7,1,9,5"
231,2x3,3,False,False,True,5,9,"6,1,8,6",5,"6,1,8,6"
232,2x3,3,False,False,True,1,7,"3,4,6,7",1,"3,4,6,7"
233,2x3,3,False,False,True,3,6,"3,5,5,9",3,"3,5,5,9"
234,4x3,3,True,True,True,6,12,"5,0,9,3",6,"5,0,9,3"
235,2x1,3,False,False,True,2,6,"6,0,8,4",2,"6,0,8,4"
236,2x3,3,False,False,True,1,6,"8,0,10,4",1,"8,0,10,4"
237,2x3,3,True,True,True,3,6,"2,4,4,7",3,"2,4,4,7"
238,3x3,3,False,False,True,8,10,"4,6,8,9",8,"4,6,8,9"
239,3x4,3,True,True,True,3,12,"6,6,9,10",3,"6,6,9,10"
240,2x5,3,True,True,True,4,10,"0,4,2,9",4,"0,4,2,9"
241,2x3,3,True,True,True,3,6,"1,1,3,4",3,"1,1,3,4"
242,2x1,3,False,False,True,1,5,"4,0,8,2",1,"4,0,8,2"
243,3x3,3,True,True,True,8,9,"0,6,3,9",8,"0,6,3,9"
244,2x5,3,False,False,True,3,11,"3,1,7,4",3,"3,1,7,4"
245,2x2,3,False,False,True,9,6,"1,4,3,8",9,"1,4,3,8"
246,2x3,3,False,False,True,2,7,"3,5,5,9",2,"3,5,5,9"
247,2x4,3,True,True,True,3,8,"0,4,2,8",3,"0,4,2,8"
248,2x3,3,False,False,True,3,7,"1,7,5,9",3,"1,7,5,9"
249,3x4,3,True,True,True,1,12,"1,5,4,9",1,"1,5,4,9"
250,2x3,3,True,True,True,9,6,"1,6,3,9",9,"1,6,3,9"
251,2x4,3,True,True,True,3,8,"7,3,9,7",3,"7,3,9,7"
252,2x2,3,False,False,True,4,5,"0,4,2,8",4,"0,4,2,8"
253,4x2,3,True,True,True,1,8,"1,2,5,4",1,"1,2,5,4"
254,2x3,3,False,False,True,7,9,"8,3,10,8",7,"8,3,10,8"
255,3x3,3,True,True,True,8,8,"1,5,4,8",8,"1,5,4,8"
256,3x4,3,True,True,True,3,12,"2,0,5,4",3,"2,0,5,4"
257,2x5,3,True,True,True,4,10,"8,5,10,10",4,"8,5,10,10"
258,2x4,3,True,True,True,3,8,"5,5,7,9",3,"5,5,7,9"
259,2x4,3,False,False,True,1,8,"4,5,6,10",1,"4,5,6,10"
260,4x3,3,True,True,True,8,12,"3,0,7,3",8,"3,0,7,3"
261,2x3,3,False,False,True,5,9,"2,1,4,6",5,"2,1,4,6"
262,3x3,3,True,True,True,1,9,"1,0,4,3",1,"1,0,4,3"
263,3x4,3,False,False,True,1,10,"6,7,10,10",1,"6,7,10,10"
264,2x5,3,False,False,True,1,11,"4,1,7,5",1,"4,1,7,5"
265,2x5,3,True,True,True,1,10,"0,0,2,5",1,"0,0,2,5"
