task_id,cost,points
124,11673,15.634966
125,13417,15.495722
126,86091,13.63684
127,900,18.197605
128,95024,13.538115
129,807,18.306676
130,15948,15.322911
131,44550,14.295633
132,29458,14.709279
133,193921,12.824794
134,12380,15.576162
135,360,19.113896
136,4837,16.51595
137,72472,13.809044
138,48467,14.211362
139,3630,16.803012
140,368,19.091917
141,15819,15.331033
142,1800,17.504458
143,19441,15.12486
144,771,18.352312
145,64297,13.928732
146,2256,17.278651
147,910,18.186555
148,22029,14.999885
149,437,18.920067
150,1014,18.078342
151,910,18.186555
152,1800,17.504458
153,11212,15.67526
154,45574,14.272907
155,1014,18.078342
156,26552,14.81314
157,79929,13.711106
158,182776,12.883983
159,89501,13.597995
160,4586,16.569237
161,64639,13.923427
162,63291,13.944502
163,24085,14.910655
164,30,21.598803
165,67524,13.879762
166,24789,14.881845
167,685,18.470581
168,20403,15.076563
169,23629,14.92977
170,78564,13.728331
171,910,18.186555
172,30,21.598803
173,175243,12.926071
174,52019,14.140636
175,23859,14.920083
176,7920,16.022854
177,61194,13.978196
178,29279,14.715374
179,774,18.348428
180,7450,16.084031
181,1194,17.914936
182,47619,14.229013
183,24878,14.878261
184,38855,14.432408
185,59584,14.004858
186,364,19.102846
187,105313,13.435308
188,10664,15.725371
189,24649,14.887508
190,11204,15.675974
191,73993,13.788274
192,51968,14.141617
193,53661,14.109558
194,1800,17.504458
195,14229,15.436963
196,32242,14.618975
197,50688,14.166556
198,103821,13.449576
199,16157,15.309891
200,8306,15.975267
201,92700,13.562876
202,125720,13.258188
203,88402,13.61035
204,104544,13.442637
205,112313,13.370955
206,61386,13.975063
207,1875,17.463636
208,92273,13.567493
209,67337,13.882535
210,30,21.598803
211,1800,17.504458
212,9870,15.802745
213,50225,14.175732
214,1800,17.504458
215,38094,14.452188
216,103572,13.451978
217,17924,15.206104
218,23202,14.948006
219,47688,14.227565
220,900,18.197605
221,55869,14.069235
222,58035,14.031198
223,1800,17.504458
224,45458,14.275456
225,11078,15.687284
226,5559,16.376826
227,2927,17.018267
228,25086,14.869935
229,1409,17.749364
230,900,18.197605
231,38342,14.445699
232,29497,14.707956
233,63540,13.940575
234,81703,13.689154
235,1338,17.801069
236,643,18.533855
237,14324,15.430308
238,64372,13.927566
239,94477,13.543888
240,27847,14.765519
241,0,25.0
242,20119,15.09058
243,67878,13.874533
244,31782,14.633345
245,29012,14.724535
246,13391,15.497662
247,22031,14.999794
248,6572,16.209427
249,8999,15.895131
250,12141,15.595657
251,100580,13.481291
252,38062,14.453028
253,48269,14.215455
254,7956,16.018318
255,68987,13.858327
256,21123,15.041882
257,1077,18.018065
258,160,19.924826
259,6843,16.169018
260,12474,15.568598
261,200,19.701683
262,3770,16.76517
263,8054,16.006076
264,79536,13.716035
265,39162,14.424538
266,910,18.186555
267,1207,17.904107
268,22280,14.988555
269,8602,15.94025
270,27301,14.785321
271,28991,14.725259
272,910,18.186555
273,5937,16.311041
274,8581,15.942694
275,83879,13.662869
276,10,22.697415
277,14617,15.410059
278,34383,14.554682
279,26330,14.821536
280,90506,13.586829
281,88615,13.607944
282,900,18.197605
283,910,18.186555
284,101133,13.475808
285,151996,13.068391
286,162199,13.003421
287,22566,14.9758
288,31807,14.632558
289,24972,14.87449
290,11708,15.631972
291,4327,16.62737
292,6305,16.250902
293,24771,14.882571
294,910,18.186555
295,12190,15.591629
296,4107,16.679552
297,9172,15.876089
298,14948,15.387667
299,1790,17.510029
300,77546,13.741373
301,64988,13.918042
302,7796,16.038634
303,80710,13.701382
304,14494,15.41851
305,3952,16.718023
306,64444,13.926448
307,1800,17.504458
308,21799,15.010381
309,10,22.697415
310,25739,14.844237
311,30,21.598803
312,9979,15.791762
313,83572,13.666536
314,8594,15.94118
315,9557,15.834971
316,3903,16.730499
317,900,18.197605
318,739,18.394702
319,18368,15.181635
320,5190,16.445511
321,5511,16.385499
322,867,18.234961
323,4533,16.580861
324,48870,14.203081
325,43022,14.330533
326,160,19.924826
327,7548,16.070962
328,68053,13.871958
329,10260,15.763992
330,59024,14.014301
331,910,18.186555
332,8990,15.896132
333,24893,14.877658
334,609,18.588182
335,46249,14.258205
336,6036,16.294503
337,10,22.697415
338,45016,14.285227
339,884,18.215543
340,70342,13.838876
341,18865,15.154936
342,12153,15.594669
343,28656,14.736882
344,2510,17.171962
345,11716,15.631289
346,9178,15.875435
347,1607,17.617876
348,7207,16.117192
349,49480,14.190676
350,19831,15.104998
351,35154,14.532506
352,6626,16.201243
353,5411,16.403811
354,17007,15.25862
355,11795,15.624569
356,5002,16.482407
357,6572,16.209427
358,113921,13.356739
359,42313,14.34715
360,11146,15.681164
361,15917,15.324857
362,11939,15.612434
363,54241,14.098808
364,77859,13.737345
365,58814,14.017865
366,836880,11.362564
367,49772,14.184792
368,32339,14.615971
369,7729,16.047265
370,108290,13.407432
371,21181,15.03914
372,7880,16.027917
373,524,18.738508
374,15742,15.335912
375,15172,15.372793
376,23413,14.938953
377,61924,13.966337
378,39008,14.428478
379,72499,13.808672
380,728,18.409699
381,3681,16.78906
382,107354,13.416113
383,127241,13.246162
384,74722,13.77847
385,30,21.598803
386,2183,17.311545
387,63558,13.940292
388,6468,16.225378
389,1898,17.451444
390,24692,14.885765
391,10021,15.787562
392,30870,14.66246
393,459,18.87095
394,4753,16.533469
395,1667,17.581219
396,143389,13.126684
397,21041,15.045772
398,84295,13.657922
399,1839,17.483023
400,35153,14.532535
