task_id,route,compiler_lane,is_cropish,bucket,priority,strict_cost,gain_to_600,gain_to_250,example_count,input_shape_count,output_shape_count,max_output_area,min_output_area,median_output_area,max_input_area,grid_size_changed_examples,output_shape_hist
39,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,204.613532,7772,2.561353,3.436822,264,1,1,9,9,9,100,264,3x3:264
121,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,202.872326,6530,2.387233,3.262701,266,1,1,9,9,9,169,266,3x3:266
296,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,198.254645,4115,1.925464,2.800933,268,1,1,9,9,9,35,268,3x3:268
316,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,197.725711,3903,1.872571,2.74804,266,1,1,9,9,9,100,266,3x3:266
259,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,197.340519,6843,2.434052,3.309521,266,9,4,9,4,6,49,266,2x2:58;2x3:69;3x2:72;3x3:67
115,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,197.271641,4122,1.927164,2.802633,266,158,4,4,3,3,464,266,1x3:75;3x1:63;1x4:66;4x1:62
38,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,195.960961,2193,1.296096,2.171565,266,1,1,5,5,5,81,266,1x5:266
394,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,195.696016,4753,2.069602,2.94507,266,4,3,9,1,4,49,266,1x1:81;2x2:154;3x3:31
207,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,195.394343,1875,1.139434,2.014903,265,1,1,4,4,4,25,265,2x2:265
146,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,192.24419,2256,1.324419,2.199888,267,1,1,9,9,9,27,267,3x3:267
399,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,190.200476,1839,1.120048,1.995516,273,5,1,9,9,9,49,268,3x3:273
395,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,189.218512,1667,1.021851,1.89732,268,1,1,9,9,9,18,268,3x3:268
6,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,189.000189,1631,1.000019,1.875488,266,1,1,9,9,9,21,266,3x3:266
386,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,188.915257,2183,1.291526,2.166994,268,1,1,12,12,12,28,268,4x3:268
347,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,188.851947,1607,0.985195,1.860663,269,1,1,9,9,9,18,269,3x3:269
235,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,187.020016,1338,0.802002,1.67747,69,1,1,9,9,9,56,69,3x3:69
56,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,187.0,213,0.0,0.0,46,1,1,1,1,1,9,46,1x1:46
103,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,187.0,193,0.0,0.0,223,1,1,1,1,1,9,223,1x1:223
178,crop_or_resize,CROP_SHAPE_COMPILER,True,P1_area_ok_shape_branch,186.894706,29331,3.889471,4.764939,268,85,6,5,3,4,60,268,1x3:36;3x1:49;1x4:41;4x1:51;1x5:53;5x1:38
393,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,185.0,459,0.0,0.607589,265,1,1,3,3,3,144,265,3x1:265
326,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,184.0,160,0.0,0.0,266,8,1,4,4,4,144,266,2x2:266
111,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,181.83925,797,0.283925,1.159394,265,1,1,9,9,9,100,265,3x3:265
334,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,179.148886,609,0.014889,0.890357,271,1,1,9,9,9,25,271,3x3:271
135,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,179.0,360,0.0,0.364643,266,1,1,9,9,9,81,266,3x3:266
149,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,179.0,437,0.0,0.558472,267,1,1,9,9,9,121,267,3x3:267
170,crop_or_resize,CROP_SHAPE_COMPILER,True,P2_1000_plausible,168.747392,78564,4.874739,5.750208,266,64,2,16,9,9,784,266,3x3:237;4x4:29
253,crop_or_resize,CROP_SHAPE_COMPILER,True,P2_1000_plausible,165.876152,48269,4.387615,5.263084,265,1,1,16,16,16,169,265,4x4:265
174,crop_or_resize,CROP_SHAPE_COMPILER,True,P1_area_ok_shape_branch,165.624347,52019,4.462435,5.337903,266,1,16,12,2,8,100,266,1x2:4;2x1:6;3x1:3;2x2:31;4x1:1;1x5:1;5x1:1;2x3:42;3x2:28;2x4:28;4x2:13;3x3:19;2x5:34;5x2:11;3x4:30;4x3:14
244,crop_or_resize,CROP_SHAPE_COMPILER,True,P2_1000_plausible,159.697257,31782,3.969726,4.845194,266,7,2,16,9,9,529,266,3x3:137;4x4:129
57,crop_or_resize,CROP_SHAPE_COMPILER,True,P2_1000_plausible,158.885496,29304,3.88855,4.764018,265,1,1,18,18,18,64,265,3x6:265
351,crop_or_resize,CROP_SHAPE_COMPILER,True,P2_1000_plausible,153.70564,35154,4.070564,4.946033,265,1,1,25,25,25,256,265,5x5:265
400,crop_or_resize,CROP_SHAPE_COMPILER,True,P2_1000_plausible,153.705356,35153,4.070536,4.946004,266,1,1,25,25,25,576,266,5x5:266
180,crop_or_resize,CROP_SHAPE_COMPILER,True,P2_1000_plausible,147.190397,7450,2.51904,3.394508,268,1,1,16,16,16,64,268,4x4:268
264,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,146.870354,79536,4.887035,5.762504,265,9,1,81,81,81,256,265,9x9:265
275,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,145.402009,83879,4.940201,5.81567,266,4,2,256,81,81,32,266,9x9:138;16x16:128
321,crop_or_resize,CROP_SHAPE_COMPILER,True,P2_1000_plausible,144.175717,5511,2.217572,3.09304,267,1,1,16,16,16,56,267,4x4:267
222,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,143.718719,58035,4.571872,5.447341,266,1,1,256,256,256,256,0,16x16:266
109,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,142.634175,94878,5.063417,5.938886,266,4,4,144,36,64,169,266,6x6:79;8x8:58;10x10:75;12x12:54
159,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,142.050754,89501,5.005075,5.880544,265,166,4,196,25,25,900,265,5x5:134;8x8:83;11x11:34;14x14:14
36,crop_or_resize,CROP_SHAPE_COMPILER,True,P3_large_crop_like_task365,141.923771,79962,4.892377,5.767846,265,1,11,25,6,15,900,265,2x3:2;3x2:2;3x3:24;3x4:25;4x3:36;3x5:30;5x3:32;4x4:21;4x5:29;5x4:38;5x5:26
339,crop_or_resize,CROP_SHAPE_COMPILER,True,P1_area_ok_shape_branch,141.875274,884,0.387527,1.262996,266,1,9,9,1,5,9,266,1x1:30;1x2:38;1x3:37;1x4:25;1x5:48;1x6:30;1x7:26;1x8:23;1x9:9
238,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,140.755044,64372,4.675504,5.550973,266,9,3,49,25,36,256,266,5x5:85;6x6:98;7x7:83
398,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,139.451482,84295,4.945148,5.820617,268,1,5,625,25,225,5,268,5x5:38;10x10:54;15x15:64;20x20:54;25x25:58
189,crop_or_resize,CROP_SHAPE_COMPILER,True,P3_large_crop_like_task365,139.15562,24649,3.715562,4.591031,266,1,1,36,36,36,81,266,6x6:266
377,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,138.367335,61924,4.636733,5.512202,266,104,4,81,9,25,900,266,3x3:122;5x5:107;7x7:28;9x9:9
3,crop_or_resize,CROP_SHAPE_COMPILER,True,P3_large_crop_like_task365,138.193198,9102,2.71932,3.594789,265,1,1,27,27,27,18,265,9x3:265
107,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,138.03078,73131,4.803078,5.678547,266,1,5,900,100,400,25,266,10x10:18;15x15:61;20x20:103;25x25:67;30x30:17
227,crop_or_resize,CROP_SHAPE_COMPILER,True,P2_1000_plausible,137.848036,2927,1.584804,2.460272,267,1,1,16,16,16,32,267,4x4:267
201,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,136.401941,92700,5.040194,5.915663,266,1,7,56,24,36,169,266,4x6:44;5x6:50;4x8:35;6x6:44;5x8:39;6x8:53;7x8:1
221,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,135.338353,55869,4.533835,5.409304,267,1,5,441,81,225,9,267,9x9:55;12x12:46;15x15:59;18x18:51;21x21:56
183,crop_or_resize,CROP_SHAPE_COMPILER,True,P3_large_crop_like_task365,135.248095,24878,3.72481,4.600278,265,3,3,36,4,16,100,265,2x2:95;4x4:82;6x6:88
338,sparse_edit_or_object_completion,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,135.178436,45016,4.317844,5.193312,267,4,4,625,100,225,625,0,10x10:83;15x15:57;20x20:73;25x25:54
188,crop_or_resize,CROP_SHAPE_COMPILER,True,P3_large_crop_like_task365,134.776992,10664,2.877699,3.753168,266,17,9,16,4,8,32,266,2x2:27;2x3:23;3x2:36;2x4:31;4x2:32;3x3:21;3x4:29;4x3:39;4x4:28
325,crop_or_resize,CROP_SHAPE_COMPILER,True,P3_large_crop_like_task365,134.725372,43022,4.272537,5.148006,266,78,6,36,1,9,256,266,1x1:10;2x2:78;3x3:80;4x4:59;5x5:32;6x6:7
213,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,134.273385,50225,4.427339,5.302807,265,84,5,49,9,25,504,265,3x3:50;4x4:55;5x5:60;6x6:51;7x7:49
96,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,132.047347,26948,3.804735,4.680203,266,49,3,121,49,81,361,266,7x7:90;9x9:96;11x11:80
247,crop_or_resize,CROP_SHAPE_COMPILER,True,P3_large_crop_like_task365,132.032762,22031,3.603276,4.478745,269,1,13,18,3,8,100,269,3x1:27;4x1:16;5x1:30;3x2:19;6x1:23;4x2:25;3x3:29;5x2:20;4x3:15;6x2:18;5x3:28;6x3:18;9x2:1
231,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,131.573715,38342,4.157372,5.03284,266,5,5,100,60,80,50,266,5x12:63;5x14:51;5x16:56;5x18:43;5x20:53
319,crop_or_resize,CROP_SHAPE_COMPILER,True,P3_large_crop_like_task365,131.214356,18368,3.421436,4.296904,267,25,9,25,9,12,361,267,3x3:49;3x4:45;4x3:53;3x5:22;5x3:29;4x4:25;4x5:19;5x4:18;5x5:7
308,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,129.926897,21799,3.59269,4.468158,266,74,3,49,9,25,400,266,3x3:95;5x5:83;7x7:88
304,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,129.845604,14494,3.18456,4.060029,266,1,1,81,81,81,9,266,9x9:266
195,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,129.661078,14229,3.166108,4.041576,265,3,1,81,81,81,323,265,9x9:265
310,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,129.58833,25739,3.758833,4.634302,266,11,4,64,25,36,900,266,5x5:68;6x6:67;7x7:80;8x8:51
289,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,129.285808,24972,3.728581,4.60405,268,1,4,225,36,81,9,268,6x6:84;9x9:98;12x12:65;15x15:21
376,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,128.64117,23413,3.664117,4.539586,39,4,4,357,153,221,102,39,9x17:10;13x17:10;17x17:10;21x17:9
257,crop_or_resize,CROP_SHAPE_COMPILER,True,P2_1000_plausible,127.85005,1077,0.585005,1.460474,269,1,1,16,16,16,81,269,4x4:269
124,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,127.681041,11673,2.968104,3.843573,267,4,1,100,100,100,80,267,10x10:267
327,crop_or_resize,CROP_SHAPE_COMPILER,True,P3_large_crop_like_task365,127.321083,7548,2.532108,3.407577,265,1,1,36,36,36,9,265,6x6:265
360,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,127.219063,11146,2.921906,3.797375,266,1,1,40,40,40,90,266,10x4:266
65,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,126.692831,35109,4.069283,4.944752,266,7,7,49,1,16,225,266,1x1:46;2x2:39;3x3:39;4x4:31;5x5:41;6x6:40;7x7:30
290,crop_or_resize,CROP_SHAPE_COMPILER,True,P3_large_crop_like_task365,125.71098,11708,2.971098,3.846567,266,36,4,36,9,25,225,266,3x3:58;4x4:69;5x5:72;6x6:67
315,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,125.680995,9557,2.768099,3.643568,266,1,1,81,81,81,9,266,9x9:266
26,crop_or_resize,CROP_SHAPE_COMPILER,True,P2_1000_plausible,125.070142,738,0.207014,1.082483,268,1,1,15,15,15,35,268,5x3:268
144,crop_or_resize,CROP_SHAPE_COMPILER,True,P2_1000_plausible,124.700271,786,0.270027,1.145496,267,1,1,16,16,16,36,267,4x4:267
318,crop_or_resize,CROP_SHAPE_COMPILER,True,P2_1000_plausible,124.083683,739,0.208368,1.083837,267,1,1,16,16,16,36,267,4x4:267
372,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,123.751535,7880,2.575154,3.450622,266,1,1,55,55,55,121,266,5x11:266
236,crop_or_resize,CROP_SHAPE_COMPILER,True,P2_1000_plausible,122.692151,643,0.069215,0.944684,267,1,1,16,16,16,36,267,4x4:267
164,crop_or_resize,CROP_SHAPE_COMPILER,True,P2_1000_plausible,120.0,30,0.0,0.0,267,1,1,18,18,18,9,267,3x6:267
172,crop_or_resize,CROP_SHAPE_COMPILER,True,P2_1000_plausible,120.0,30,0.0,0.0,267,1,1,18,18,18,9,267,6x3:267
210,crop_or_resize,CROP_SHAPE_COMPILER,True,P2_1000_plausible,120.0,30,0.0,0.0,266,1,1,18,18,18,9,266,6x3:266
311,crop_or_resize,CROP_SHAPE_COMPILER,True,P2_1000_plausible,120.0,30,0.0,0.0,266,1,1,18,18,18,9,266,3x6:266
375,sparse_edit_or_object_completion,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,118.302772,15172,3.230277,4.105746,58,7,7,225,9,81,225,0,3x3:1;5x5:10;7x7:10;9x9:9;11x11:10;13x13:9;15x15:9
384,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,118.246002,74722,4.8246,5.700069,266,1,15,80,8,48,81,266,2x4:1;4x2:1;2x6:2;4x4:8;4x6:15;6x4:16;4x8:6;8x4:7;6x6:50;4x10:1;6x8:38;8x6:33;6x10:24;8x8:32;8x10:32
46,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,118.201597,33426,4.02016,4.895628,267,13,11,48,18,30,60,267,3x6:3;3x7:16;3x8:29;3x9:54;3x10:37;3x11:44;3x12:28;3x13:30;3x14:19;3x15:5;3x16:2
365,crop_or_resize,CROP_SHAPE_COMPILER,True,P3_large_crop_like_task365,117.852055,58814,4.585206,5.460674,266,1,16,36,9,15,100,266,3x3:47;3x4:27;4x3:34;3x5:17;5x3:25;4x4:21;3x6:19;6x3:13;4x5:8;5x4:19;4x6:12;6x4:7;5x5:9;5x6:3;6x5:4;6x6:1
123,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,117.227877,4104,1.922788,2.798256,265,1,1,100,100,100,25,265,10x10:265
104,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,116.142817,3682,1.814282,2.68975,7,1,1,81,81,81,9,7,9x9:7
295,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,116.114416,12190,3.011442,3.88691,268,7,7,162,18,72,18,268,3x6:32;4x8:31;5x10:37;6x12:42;7x14:44;8x16:44;9x18:38
72,crop_or_resize,CROP_SHAPE_COMPILER,True,P3_large_crop_like_task365,115.800891,1309,0.780089,1.655558,268,1,1,30,30,30,65,268,6x5:268
114,crop_or_resize,CROP_SHAPE_COMPILER,True,P2_1000_plausible,114.371641,1254,0.737164,1.612633,266,4,4,25,16,20,9,266,4x4:63;4x5:65;5x4:73;5x5:65
116,crop_or_resize,CROP_SHAPE_COMPILER,True,P2_1000_plausible,114.0,30,0.0,0.0,267,1,1,24,24,24,12,267,6x4:267
388,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,113.776926,6468,2.377693,3.253161,266,5,5,144,16,64,36,266,4x4:47;6x6:54;8x8:61;10x10:46;12x12:58
1,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,113.556855,2843,1.555685,2.431154,268,1,1,81,81,81,9,268,9x9:268
142,crop_or_resize,CROP_SHAPE_COMPILER,True,P3_large_crop_like_task365,112.986123,1800,1.098612,1.974081,266,1,1,36,36,36,9,266,6x6:266
152,crop_or_resize,CROP_SHAPE_COMPILER,True,P3_large_crop_like_task365,112.986123,1800,1.098612,1.974081,267,1,1,36,36,36,9,267,6x6:267
194,crop_or_resize,CROP_SHAPE_COMPILER,True,P3_large_crop_like_task365,112.986123,1800,1.098612,1.974081,266,1,1,36,36,36,9,266,6x6:266
211,crop_or_resize,CROP_SHAPE_COMPILER,True,P3_large_crop_like_task365,112.986123,1800,1.098612,1.974081,266,1,1,36,36,36,6,266,9x4:266
269,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,112.628204,8602,2.66282,3.538289,266,1,7,576,36,225,9,266,6x6:44;9x9:40;12x12:27;15x15:52;18x18:35;21x21:34;24x24:34
366,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,112.405063,836880,7.240506,8.115975,266,60,30,255,80,156,510,266,10x8:9;10x9:10;11x9:6;10x10:11;10x11:11;11x10:4;10x12:11;12x10:6;11x11:12;11x12:6;12x11:9;11x13:15;13x11:6;12x12:8;12x13:8;13x12:8;12x14:17;14x12:10;13x13:5;13x14:5;14x13:6;13x15:11;15x13:11;14x14:10;14x15:8;15x14:8;14x16:8;15x15:9;15x16:6;15x17:12
249,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,109.079391,8999,2.707939,3.583408,265,9,9,50,18,30,25,265,3x6:28;3x8:22;4x6:36;3x10:31;5x6:32;4x8:21;4x10:29;5x8:39;5x10:27
83,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,108.986123,1800,1.098612,1.974081,266,1,1,48,48,48,12,266,6x8:266
108,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,108.986123,1800,1.098612,1.974081,266,1,1,400,400,400,100,266,20x20:266
223,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,108.986123,1800,1.098612,1.974081,265,1,1,81,81,81,9,265,9x9:265
239,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,108.59182,94477,5.059182,5.934651,267,4,21,40,10,18,16,267,5x2:14;4x3:5;6x2:21;7x2:13;5x3:17;8x2:33;6x3:46;9x2:19;5x4:2;10x2:14;7x3:14;6x4:4;8x3:21;12x2:3;9x3:10;7x4:9;6x5:2;10x3:12;8x4:5;12x3:1;10x4:2
67,crop_or_resize,CROP_SHAPE_COMPILER,True,P2_1000_plausible,107.0,315,0.0,0.231112,266,4,4,25,4,9,75,266,2x2:80;3x3:58;4x4:74;5x5:54
396,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,106.763868,143389,5.476387,6.351856,266,49,24,64,16,42,324,266,4x4:1;4x5:3;5x4:2;4x6:4;5x5:4;4x7:3;7x4:3;5x6:5;6x5:11;4x8:4;8x4:1;5x7:19;7x5:12;6x6:17;5x8:15;8x5:16;6x7:25;7x6:13;6x8:22;8x6:18;7x7:20;7x8:17;8x7:17;8x8:14
106,crop_or_resize,CROP_SHAPE_COMPILER,True,P3_large_crop_like_task365,106.62688,1164,0.662688,1.538157,266,2,2,36,16,36,9,266,4x4:132;6x6:134
307,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,102.986123,1800,1.098612,1.974081,266,4,4,100,16,64,25,266,4x4:55;6x6:64;8x8:84;10x10:63
205,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,102.321152,112313,5.232115,6.107584,266,165,25,100,36,63,900,266,6x6:9;6x7:9;7x6:11;6x8:12;8x6:7;7x7:14;6x9:5;9x6:20;7x8:8;8x7:7;6x10:10;10x6:6;7x9:19;9x7:12;8x8:11;7x10:11;10x7:9;8x9:13;9x8:5;8x10:16;10x8:12;9x9:11;9x10:9;10x9:13;10x10:7
19,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,99.095373,81346,4.909537,5.785006,267,25,25,144,16,60,36,267,4x4:13;4x6:9;6x4:9;4x8:9;8x4:15;6x6:4;4x10:7;10x4:12;4x12:11;6x8:13;8x6:13;12x4:10;6x10:9;10x6:11;8x8:10;6x12:8;12x6:15;8x10:7;10x8:9;8x12:12;12x8:20;10x10:8;10x12:9;12x10:13;12x12:11
262,sparse_edit_or_object_completion,COLOR_ROLE_COMPILER,False,P0_600_plausible,97.379006,3770,1.837901,2.713369,11,1,1,9,9,9,9,0,3x3:11
177,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,96.248748,61194,4.624875,5.500344,265,104,25,64,16,35,400,265,4x4:11;4x5:11;5x4:9;4x6:15;6x4:11;5x5:10;4x7:4;7x4:20;5x6:8;6x5:4;4x8:9;8x4:8;5x7:9;7x5:17;6x6:9;5x8:9;8x5:11;6x7:9;7x6:12;6x8:12;8x6:14;7x7:12;7x8:10;8x7:13;8x8:8
31,crop_or_resize,CROP_SHAPE_COMPILER,True,P4_not_600_by_area_floor,88.34847,18616,3.434847,4.310316,266,3,23,42,12,21,144,266,3x4:2;4x3:2;6x2:1;3x5:5;5x3:11;4x4:22;3x6:7;6x3:6;4x5:43;5x4:33;3x7:3;3x8:2;4x6:25;6x4:21;5x5:35;4x7:11;7x4:2;5x6:15;6x5:14;4x8:1;7x5:1;6x6:3;6x7:1
229,sparse_edit_or_object_completion,COLOR_ROLE_COMPILER,False,P0_600_plausible,87.537059,1409,0.853706,1.729175,267,1,1,9,9,9,9,0,3x3:267
52,sparse_edit_or_object_completion,COLOR_ROLE_COMPILER,False,P0_600_plausible,86.162125,1228,0.716212,1.591681,267,1,1,9,9,9,9,0,3x3:267
322,sparse_edit_or_object_completion,OBJECT_MOVE_COMPILER,False,P0_600_plausible,82.681093,867,0.368109,1.243578,266,1,1,9,9,9,9,0,3x3:266
129,sparse_edit_or_object_completion,COLOR_ROLE_COMPILER,False,P0_600_plausible,81.96394,807,0.296394,1.171863,265,1,1,9,9,9,9,0,3x3:265
380,sparse_edit_or_object_completion,SYMMETRY_LINE_COMPILER,False,P0_600_plausible,80.933714,728,0.193371,1.06884,267,1,1,9,9,9,9,0,3x3:267
167,sparse_edit_or_object_completion,COLOR_ROLE_COMPILER,False,P0_600_plausible,80.324892,685,0.132489,1.007958,268,1,1,9,9,9,9,0,3x3:268
16,sparse_edit_or_object_completion,COLOR_ROLE_COMPILER,False,P0_600_plausible,79.0,10,0.0,0.0,267,1,1,9,9,9,9,0,3x3:267
53,sparse_edit_or_object_completion,OBJECT_MOVE_COMPILER,False,P0_600_plausible,79.0,30,0.0,0.0,60,1,1,9,9,9,9,0,3x3:60
87,sparse_edit_or_object_completion,GENERAL_DSL_SYNTHESIS,False,P0_600_plausible,79.0,368,0.0,0.386622,266,1,1,9,9,9,9,0,3x3:266
140,sparse_edit_or_object_completion,GENERAL_DSL_SYNTHESIS,False,P0_600_plausible,79.0,368,0.0,0.386622,265,1,1,9,9,9,9,0,3x3:265
179,sparse_edit_or_object_completion,GENERAL_DSL_SYNTHESIS,False,P0_600_plausible,79.0,0,0.0,0.0,267,1,1,9,9,9,9,0,3x3:267
