task_id,priority,route,strict_cost,teacher_cost,gain_to_600,gain_to_250,teacher_gain_vs_strict,example_count,same_shape_rate,sparse_edit_rate,only_background_fill_rate,only_deletion_rate,bbox_preserved_rate,changed_count_median,changed_count_min,changed_count_max,shape_pair_count,output_shape_pair_count,dominant_output_shapes,dominant_change_pairs,compiler_lane,lowering_bias,first_probe
370,P0,sparse_edit_or_object_completion,108296,11547,5.195693842649474,6.071162580003376,2.2384425559137657,266,1.0,1.0,0.0,0.0,1.0,11.0,1,31,107,107,"{""(12, 18)"": 7, ""(11, 18)"": 6, ""(14, 20)"": 6, ""(11, 15)"": 5, ""(12, 15)"": 5, ""(14, 18)"": 5}","{""(1, 7)"": 132, ""(1, 2)"": 105, ""(5, 8)"": 101, ""(9, 6)"": 98, ""(4, 3)"": 98, ""(1, 9)"": 96}",L4_shape_crop_resize,constant or small shape-conditioned Slice/Gather/Pad; reject full-grid bbox GatherND,"shape rule, bbox anchor, fixed output-size crop/resize probe"
382,P0,sparse_edit_or_object_completion,107354,37115,5.186957408691423,6.0624261460453255,1.0621105843559242,266,1.0,1.0,1.0,0.0,0.0,60.0,20,133,110,110,"{""(12, 18)"": 7, ""(18, 11)"": 5, ""(12, 14)"": 5, ""(18, 14)"": 5, ""(15, 19)"": 5, ""(10, 12)"": 5}","{""(0, 8)"": 16076}",L2_local_predicate_sparse_fill,small Conv kernels plus one Where; target cost 350-600,3x3/5x5 neighborhood predicate and color-role search
34,P0,sparse_edit_or_object_completion,106316,17058,5.177241415190858,6.05271015254476,1.8297964895279506,267,1.0,1.0,0.0,0.0,0.0,19,4,35,1,1,"{""(9, 9)"": 267}","{""(0, 6)"": 750, ""(0, 5)"": 658, ""(0, 3)"": 573, ""(0, 1)"": 534, ""(0, 4)"": 524, ""(0, 8)"": 505}",L3_object_move_or_erase,object masks with small Gather/Slice; avoid large ScatterND,component correspondence and role-preserving copy/erase search
204,P0,sparse_edit_or_object_completion,104544,56171,5.160433659184649,6.035902396538551,0.6212074259350526,268,1.0,1.0,1.0,0.0,1.0,18.0,2,134,11,11,"{""(11, 11)"": 32, ""(10, 10)"": 30, ""(12, 12)"": 29, ""(14, 14)"": 28, ""(20, 20)"": 24, ""(15, 15)"": 24}","{""(0, 2)"": 3068, ""(0, 7)"": 2948}",L2_local_predicate_sparse_fill,small Conv kernels plus one Where; target cost 350-600,3x3/5x5 neighborhood predicate and color-role search
216,P0,crop_or_resize,103572,38307,5.1510926467915095,6.0265613841454115,0.9946343759148668,266,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,124,124,"{""(5, 16)"": 8, ""(6, 10)"": 7, ""(7, 8)"": 6, ""(5, 12)"": 6, ""(8, 4)"": 6, ""(9, 9)"": 5}",{},L4_shape_crop_resize,constant or small shape-conditioned Slice/Gather/Pad; reject full-grid bbox GatherND,"shape rule, bbox anchor, fixed output-size crop/resize probe"
284,P0,sparse_edit_or_object_completion,102032,13755,5.136112113338905,6.011580850692807,2.003884095196378,266,1.0,1.0,1.0,0.0,0.0,22.0,16,28,107,107,"{""(19, 9)"": 8, ""(10, 13)"": 7, ""(19, 10)"": 7, ""(11, 7)"": 6, ""(7, 21)"": 6, ""(8, 18)"": 6}","{""(0, 7)"": 806, ""(0, 3)"": 745, ""(0, 2)"": 734, ""(0, 1)"": 638, ""(0, 6)"": 620, ""(0, 4)"": 582}",L2_local_predicate_sparse_fill,small Conv kernels plus one Where; target cost 350-600,3x3/5x5 neighborhood predicate and color-role search
251,P0,sparse_edit_or_object_completion,100580,10875,5.121779054509808,5.99724779186371,2.224486853769072,266,1.0,1.0,1.0,0.0,1.0,8.0,4,28,5,5,"{""(12, 12)"": 105, ""(11, 11)"": 58, ""(10, 10)"": 52, ""(9, 9)"": 30, ""(8, 8)"": 21}","{""(0, 1)"": 2708}",L1_static_sparse_background_fill,tiny coordinate program or one small mask; target cost 250-450,object-role/orbit/local-neighborhood fill search
2,P0,sparse_edit_or_object_completion,97293,33547,5.088552667923924,5.964021405277826,1.0647796035162855,268,1.0,1.0,1.0,0.0,1.0,34.0,1,109,15,15,"{""(20, 20)"": 75, ""(19, 19)"": 40, ""(18, 18)"": 39, ""(16, 16)"": 21, ""(15, 15)"": 20, ""(17, 17)"": 19}","{""(0, 4)"": 9828}",L2_local_predicate_sparse_fill,small Conv kernels plus one Where; target cost 350-600,3x3/5x5 neighborhood predicate and color-role search
29,P0,crop_or_resize,97117,71139,5.086742060978995,5.962210798332897,0.3112807275809235,266,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,266,182,"{""(8, 9)"": 4, ""(1, 6)"": 4, ""(10, 2)"": 4, ""(16, 1)"": 4, ""(11, 14)"": 4, ""(1, 9)"": 4}",{},L4_shape_crop_resize,constant or small shape-conditioned Slice/Gather/Pad; reject full-grid bbox GatherND,"shape rule, bbox anchor, fixed output-size crop/resize probe"
128,P0,sparse_edit_or_object_completion,95042,48731,5.06514452292995,5.940613260283852,0.6680035212796209,266,1.0,1.0,0.0,0.0,0.0,56.0,12,134,1,1,"{""(15, 15)"": 266}","{""(0, 2)"": 2668, ""(2, 0)"": 2668, ""(0, 4)"": 2537, ""(4, 0)"": 2537, ""(0, 1)"": 2476, ""(1, 0)"": 2476}",L3_object_move_or_erase,object masks with small Gather/Slice; avoid large ScatterND,component correspondence and role-preserving copy/erase search
