task_id,route,baseline_cost,node_count,initializer_count,target_op_node_count,dominant_ops,recommended_bank,priority
71,sparse_edit_or_object_completion,76482,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,54
173,sparse_edit_or_object_completion,76356,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,55
20,sparse_edit_or_object_completion,75134,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,56
126,sparse_edit_or_object_completion,74727,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,57
384,crop_or_resize,74722,39,13,7,Cast:5;Reshape:4;ArgMax:4;Gather:4;Sub:4;Add:4;Less:4;Mul:4,crop_resize,58
255,same_shape_global_transform,74403,115,30,25,Gather:22;Less:21;Reshape:20;And:16;Sub:11;Add:10;Or:4;Cast:3,sparse_object,59
191,sparse_edit_or_object_completion,73993,36,18,11,Gather:7;Cast:6;Equal:3;ArgMax:3;ScatterElements:3;Unsqueeze:2;Reshape:2;ReduceMax:2,sparse_object,60
107,crop_or_resize,73131,52,30,28,Where:19;Gather:9;Less:7;Sub:4;Mul:4;Squeeze:4;ReduceSum:2;Cast:1,crop_resize,61
88,crop_or_resize,72766,48,20,7,Sub:7;ReduceMax:6;Add:6;Mul:5;Where:5;Reshape:4;Cast:3;Greater:2,crop_resize,62
379,sparse_edit_or_object_completion,72499,107,29,28,Greater:16;Where:16;Sub:13;Mul:11;ReduceSum:9;Cast:7;MaxPool:6;Sum:6,sparse_object,63
137,same_shape_global_transform,72472,36,9,1,Cast:7;ReduceSum:5;Sub:4;Mul:4;Div:4;And:3;Equal:2;Abs:2,sparse_object,64
340,sparse_edit_or_object_completion,70342,72,25,15,Where:11;Cast:10;ReduceSum:8;Equal:8;Sub:7;Greater:6;Mul:6;Slice:4,sparse_object,65
145,same_shape_global_transform,69757,325,34,63,Sum:120;Mul:120;Gather:62;Concat:5;Cast:4;Sub:4;And:3;Equal:2,sparse_object,66
51,sparse_edit_or_object_completion,68437,58,12,5,And:10;ReduceMax:7;Unsqueeze:7;Equal:7;ArgMax:6;Slice:4;Greater:4;Or:3,sparse_object,67
328,sparse_edit_or_object_completion,68053,102,20,10,And:21;Or:12;Cast:10;Greater:10;Where:8;Less:5;Equal:4;GatherND:4,sparse_object,68
243,sparse_edit_or_object_completion,67878,27,17,7,Gather:5;Cast:3;Reshape:2;Div:2;Floor:2;Mul:2;Sub:2;ReduceSum:1,sparse_object,69
165,sparse_edit_or_object_completion,67524,25,15,8,Cast:5;Conv:3;Reshape:3;Mul:3;Slice:2;Greater:2;ReduceMax:2;Sub:2,sparse_object,70
209,crop_or_resize,67337,21,12,6,Gather:4;ArgMax:2;Cast:2;Equal:2;Add:2;Less:2;GatherND:1;Unsqueeze:1,crop_resize,71
11,sparse_edit_or_object_completion,66247,52,22,20,Mul:18;Slice:10;Conv:10;ReduceMax:9;Cast:1;Sub:1;Relu:1;Sum:1,sparse_object,72
70,sparse_edit_or_object_completion,66138,71,16,22,Conv:20;Greater:20;Cast:19;Mul:3;Slice:2;ReduceMax:2;And:2;Pad:2,sparse_object,73
101,sparse_edit_or_object_completion,65875,31,16,8,Cast:6;Slice:3;Concat:2;Unsqueeze:2;Equal:2;Reshape:2;ArgMax:2;Gather:2,sparse_object,74
301,sparse_edit_or_object_completion,64988,48,11,5,Cast:10;ReduceSum:4;Greater:4;Less:4;ReduceMax:3;Unsqueeze:3;And:3;Not:2,sparse_object,75
161,sparse_edit_or_object_completion,64647,39,11,3,Greater:7;And:7;Cast:5;ReduceMax:5;Slice:3;ArgMax:2;Expand:2;GatherElements:2,sparse_object,76
306,sparse_edit_or_object_completion,64444,33,33,16,Slice:14;Or:5;Concat:3;Greater:2;Tile:2;Pad:2;And:2;Cast:1,sparse_object,77
