task_id,filename,source_label,source_ref,relative_path,sha256,file_bytes,normalized_bytes,params,memory_bytes,cost,simple_cost,local_points,validation_status,validation_pass,validation_fail
97,task097.onnx,massimilianoghiotto_6254,massimilianoghiotto/neurogolf2026-6254,submission\task097.onnx,d3ac24b8f1ef82f43e7f57498baccf1d83880a6fe0266ba9484ac6eba27b8599,904,1190,10,55802,55812,1200,14.070255820987903,pass,7,0
98,task098.onnx,massimilianoghiotto_6254,massimilianoghiotto/neurogolf2026-6254,submission\task098.onnx,8fff41bf99869a80261fa1ec8461431ffa90e7a616d10c1582642af88b241cde,3836,3880,910,0,910,4790,18.186555400489105,pass,6,0
99,task099.onnx,massimilianoghiotto_6254,massimilianoghiotto/neurogolf2026-6254,submission\task099.onnx,1e320d88cf0eac19c3c20b9c005a4be28ac50d4bf0a39015404f9deb22a0c31e,19839,19883,4910,0,4910,24793,16.500970779211436,pass,6,0
100,task100.onnx,massimilianoghiotto_6254,massimilianoghiotto/neurogolf2026-6254,submission\task100.onnx,dceade053a44b3cc0ee481a2b109060da44f7e12dc34d583c301f1c9d6f84691,4954,3692,43,6493,6536,3735,16.21491936346016,pass,6,0
101,task101.onnx,franksunp_blended_best,franksunp/neurogolf-blended-best-models,task101.onnx,1097ccf2575df8ef91fdfbd7870a10cc2b4bdce67da9e625e16e66f5aeb89204,32723,34098,11553,54322,65875,45651,13.904485714156337,pass,6,0
102,task102.onnx,massimilianoghiotto_6254,massimilianoghiotto/neurogolf2026-6254,submission\task102.onnx,96828587e72bb4a7f3af9bce80fa95d9431a6740d99b3f93d32e3c48096cea60,6500,7489,532,12075,12607,8021,15.55799250576873,pass,7,0
103,task103.onnx,massimilianoghiotto_6254,massimilianoghiotto/neurogolf2026-6254,submission\task103.onnx,b3c052cdc64fa19a71396b9bc19a9017a70fae4e77cf764756b4e7eac2a36d4f,979,1251,34,159,193,1285,19.737309811095116,pass,10,0
104,task104.onnx,massimilianoghiotto_6254,massimilianoghiotto/neurogolf2026-6254,submission\task104.onnx,2a9e28757c576c2248ca53c517bd98d43633ab65ecfa9542bebc9fc050ad2b0a,3505,4136,990,2692,3682,5126,16.788788638206977,pass,5,0
105,task105.onnx,massimilianoghiotto_6254,massimilianoghiotto/neurogolf2026-6254,submission\task105.onnx,c98b3f63a51b63155aeb92f922cbf3f241f84285f5f1705a033e4773d25b47ea,8053,8010,68,6987,7055,8078,16.138508135713085,pass,6,0
106,task106.onnx,massimilianoghiotto_6254,massimilianoghiotto/neurogolf2026-6254,submission\task106.onnx,9b54191da37371effdb80aaca05a4cddbabc19d25cbc1ebceae1d85a897c6698,2939,2647,125,1039,1164,2772,17.940382371708615,pass,6,0
107,task107.onnx,massimilianoghiotto_6254,massimilianoghiotto/neurogolf2026-6254,submission\task107.onnx,486d43b947a10c096cd5abb2121faf5664c1d92f9d0196957cff677676caa5cf,31191,33960,13681,59450,73131,47641,13.799992367549814,pass,6,0
