task_id,baseline_cost,route,program_count,best_program,best_proxy_cost
189,17571,crop_or_resize,0,,
239,17568,crop_or_resize,0,,
18,17467,sparse_edit_or_object_completion,0,,
154,17371,sparse_edit_or_object_completion,0,,
224,17243,sparse_edit_or_object_completion,0,,
163,17092,sparse_edit_or_object_completion,0,,
34,17058,sparse_edit_or_object_completion,0,,
354,17007,sparse_edit_or_object_completion,0,,
85,16926,sparse_edit_or_object_completion,0,,
390,16699,sparse_edit_or_object_completion,0,,
330,16635,sparse_edit_or_object_completion,0,,
319,16583,crop_or_resize,0,,
232,16283,sparse_edit_or_object_completion,0,,
199,16157,sparse_edit_or_object_completion,0,,
58,16105,same_shape_global_transform,0,,
36,15912,crop_or_resize,0,,
358,15757,sparse_edit_or_object_completion,0,,
351,15683,crop_or_resize,0,,
44,15483,sparse_edit_or_object_completion,0,,
57,15459,crop_or_resize,0,,
365,15459,crop_or_resize,0,,
400,15459,crop_or_resize,0,,
247,15339,crop_or_resize,0,,
368,15056,sparse_edit_or_object_completion,0,,
112,15003,sparse_edit_or_object_completion,0,,
298,14948,sparse_edit_or_object_completion,0,,
277,14617,sparse_edit_or_object_completion,0,,
197,14567,sparse_edit_or_object_completion,0,,
304,14494,crop_or_resize,0,,
253,14444,crop_or_resize,0,,
82,14420,sparse_edit_or_object_completion,0,,
195,14229,crop_or_resize,0,,
141,14107,sparse_edit_or_object_completion,0,,
117,14075,sparse_edit_or_object_completion,0,,
287,13779,sparse_edit_or_object_completion,0,,
284,13755,sparse_edit_or_object_completion,0,,
170,13731,crop_or_resize,0,,
244,13731,crop_or_resize,0,,
4,13560,sparse_edit_or_object_completion,0,,
375,13531,sparse_edit_or_object_completion,0,,
178,13497,crop_or_resize,0,,
185,13431,crop_or_resize,0,,
125,13417,sparse_edit_or_object_completion,0,,
300,13323,crop_or_resize,0,,
22,13283,crop_or_resize,0,,
174,12963,crop_or_resize,0,,
79,12835,crop_or_resize,0,,
271,12732,crop_or_resize,0,,
218,12611,crop_or_resize,0,,
242,12611,crop_or_resize,0,,
68,12589,sparse_edit_or_object_completion,0,,
93,12539,sparse_edit_or_object_completion,0,,
130,12490,crop_or_resize,0,,
217,12475,sparse_edit_or_object_completion,0,,
260,12474,sparse_edit_or_object_completion,0,,
134,12388,crop_or_resize,0,,
184,12387,crop_or_resize,0,,
182,12364,sparse_edit_or_object_completion,0,,
295,12190,crop_or_resize,0,,
265,12187,sparse_edit_or_object_completion,0,,
162,12027,sparse_edit_or_object_completion,0,,
30,11998,sparse_edit_or_object_completion,0,,
362,11939,sparse_edit_or_object_completion,0,,
166,11867,sparse_edit_or_object_completion,0,,
345,11716,sparse_edit_or_object_completion,0,,
290,11708,crop_or_resize,0,,
131,11707,sparse_edit_or_object_completion,0,,
89,11703,sparse_edit_or_object_completion,0,,
124,11673,crop_or_resize,0,,
355,11622,crop_or_resize,0,,
370,11547,sparse_edit_or_object_completion,0,,
78,11496,sparse_edit_or_object_completion,0,,
374,11254,sparse_edit_or_object_completion,0,,
12,11213,sparse_edit_or_object_completion,0,,
153,11212,crop_or_resize,0,,
360,11146,crop_or_resize,0,,
193,11099,sparse_edit_or_object_completion,0,,
343,11099,sparse_edit_or_object_completion,0,,
340,10939,sparse_edit_or_object_completion,0,,
23,10875,sparse_edit_or_object_completion,0,,
66,10875,sparse_edit_or_object_completion,0,,
208,10875,sparse_edit_or_object_completion,0,,
251,10875,sparse_edit_or_object_completion,0,,
64,10771,sparse_edit_or_object_completion,0,,
188,10664,crop_or_resize,0,,
8,10555,sparse_edit_or_object_completion,0,,
77,10491,sparse_edit_or_object_completion,0,,
94,10453,sparse_edit_or_object_completion,0,,
25,10331,sparse_edit_or_object_completion,0,,
329,10260,sparse_edit_or_object_completion,0,,
397,10235,sparse_edit_or_object_completion,0,,
102,10233,sparse_edit_or_object_completion,0,,
391,10021,crop_or_resize,0,,
118,10000,sparse_edit_or_object_completion,0,,
312,9979,sparse_edit_or_object_completion,0,,
212,9969,sparse_edit_or_object_completion,0,,
270,9819,sparse_edit_or_object_completion,0,,
169,9787,sparse_edit_or_object_completion,0,,
341,9787,sparse_edit_or_object_completion,0,,
246,9755,sparse_edit_or_object_completion,0,,
315,9557,crop_or_resize,0,,
252,9531,sparse_edit_or_object_completion,0,,
71,9502,sparse_edit_or_object_completion,0,,
156,9502,sparse_edit_or_object_completion,0,,
225,9371,sparse_edit_or_object_completion,0,,
335,9307,sparse_edit_or_object_completion,0,,
41,9243,sparse_edit_or_object_completion,0,,
192,9231,sparse_edit_or_object_completion,0,,
346,9178,crop_or_resize,0,,
297,9172,sparse_edit_or_object_completion,0,,
50,9146,sparse_edit_or_object_completion,0,,
3,9102,crop_or_resize,0,,
24,9080,sparse_edit_or_object_completion,0,,
249,8999,crop_or_resize,0,,
28,8990,sparse_edit_or_object_completion,0,,
250,8969,sparse_edit_or_object_completion,0,,
245,8818,sparse_edit_or_object_completion,0,,
237,8729,sparse_edit_or_object_completion,0,,
269,8602,crop_or_resize,0,,
274,8581,crop_or_resize,0,,
173,8475,sparse_edit_or_object_completion,0,,
37,8379,sparse_edit_or_object_completion,0,,
361,8315,sparse_edit_or_object_completion,0,,
200,8306,sparse_edit_or_object_completion,0,,
97,8263,sparse_edit_or_object_completion,0,,
263,8054,crop_or_resize,0,,
90,8030,sparse_edit_or_object_completion,0,,
254,7956,sparse_edit_or_object_completion,0,,
176,7920,sparse_edit_or_object_completion,0,,
372,7880,crop_or_resize,0,,
39,7772,crop_or_resize,0,,
369,7729,sparse_edit_or_object_completion,0,,
76,7643,sparse_edit_or_object_completion,0,,
363,7579,sparse_edit_or_object_completion,0,,
327,7548,crop_or_resize,0,,
51,7483,sparse_edit_or_object_completion,0,,
302,7483,sparse_edit_or_object_completion,0,,
180,7450,crop_or_resize,0,,
45,7428,sparse_edit_or_object_completion,0,,
7,7271,sparse_edit_or_object_completion,0,,
348,7207,sparse_edit_or_object_completion,0,,
43,7119,sparse_edit_or_object_completion,0,,
105,7055,sparse_edit_or_object_completion,0,,
288,6886,sparse_edit_or_object_completion,0,,
259,6843,crop_or_resize,0,,
27,6715,sparse_edit_or_object_completion,0,,
352,6626,sparse_edit_or_object_completion,0,,
119,6619,sparse_edit_or_object_completion,0,,
357,6581,sparse_edit_or_object_completion,0,,
100,6536,crop_or_resize,0,,
121,6530,crop_or_resize,0,,
388,6468,crop_or_resize,0,,
292,6305,sparse_edit_or_object_completion,0,,
336,6036,sparse_edit_or_object_completion,0,,
40,5947,sparse_edit_or_object_completion,0,,
273,5937,sparse_edit_or_object_completion,0,,
332,5899,sparse_edit_or_object_completion,0,,
190,5851,sparse_edit_or_object_completion,0,,
333,5787,sparse_edit_or_object_completion,0,,
42,5783,sparse_edit_or_object_completion,0,,
168,5659,sparse_edit_or_object_completion,0,,
342,5627,sparse_edit_or_object_completion,0,,
48,5609,crop_or_resize,0,,
314,5595,sparse_edit_or_object_completion,0,,
60,5581,sparse_edit_or_object_completion,0,,
226,5559,sparse_edit_or_object_completion,0,,
321,5511,crop_or_resize,0,,
35,5339,sparse_edit_or_object_completion,0,,
320,5190,sparse_edit_or_object_completion,0,,
228,5179,sparse_edit_or_object_completion,0,,
10,5016,sparse_edit_or_object_completion,0,,
353,5014,sparse_edit_or_object_completion,0,,
356,5002,sparse_edit_or_object_completion,0,,
371,4923,sparse_edit_or_object_completion,0,,
99,4910,sparse_edit_or_object_completion,0,,
136,4837,sparse_edit_or_object_completion,0,,
206,4795,sparse_edit_or_object_completion,0,,
394,4753,crop_or_resize,0,,
160,4586,sparse_edit_or_object_completion,0,,
378,4556,sparse_edit_or_object_completion,0,,
323,4533,sparse_edit_or_object_completion,0,,
291,4327,crop_or_resize,0,,
293,4323,sparse_edit_or_object_completion,0,,
115,4122,crop_or_resize,0,,
296,4115,crop_or_resize,0,,
123,4104,crop_or_resize,0,,
126,4027,sparse_edit_or_object_completion,0,,
305,3952,sparse_edit_or_object_completion,0,,
20,3931,sparse_edit_or_object_completion,0,,
316,3903,crop_or_resize,0,,
143,3803,sparse_edit_or_object_completion,0,,
104,3682,crop_or_resize,0,,
381,3681,sparse_edit_or_object_completion,0,,
139,3630,sparse_edit_or_object_completion,0,,
32,3405,sparse_edit_or_object_completion,0,,
47,3024,sparse_edit_or_object_completion,0,,
248,2938,sparse_edit_or_object_completion,0,,
227,2927,crop_or_resize,0,,
1,2843,crop_or_resize,0,,
262,2582,sparse_edit_or_object_completion,0,,
122,2510,sparse_edit_or_object_completion,0,,
344,2510,sparse_edit_or_object_completion,0,,
81,2307,sparse_edit_or_object_completion,0,,
146,2256,crop_or_resize,0,,
38,2193,crop_or_resize,0,,
386,2183,crop_or_resize,0,,
389,1898,sparse_edit_or_object_completion,0,,
207,1875,crop_or_resize,0,,
399,1839,crop_or_resize,0,,
83,1800,crop_or_resize,0,,
108,1800,crop_or_resize,0,,
142,1800,crop_or_resize,0,,
152,1800,crop_or_resize,0,,
194,1800,crop_or_resize,0,,
211,1800,crop_or_resize,0,,
214,1800,sparse_edit_or_object_completion,0,,
223,1800,crop_or_resize,2,nearest_upscale_3,192
307,1800,crop_or_resize,0,,
299,1790,sparse_edit_or_object_completion,0,,
395,1667,crop_or_resize,0,,
6,1631,crop_or_resize,0,,
347,1607,crop_or_resize,0,,
229,1409,sparse_edit_or_object_completion,0,,
235,1338,crop_or_resize,0,,
72,1309,crop_or_resize,0,,
267,1255,sparse_edit_or_object_completion,0,,
114,1254,crop_or_resize,0,,
52,1228,sparse_edit_or_object_completion,0,,
181,1194,sparse_edit_or_object_completion,0,,
106,1164,crop_or_resize,0,,
257,1077,crop_or_resize,0,,
150,1014,sparse_edit_or_object_completion,2,flip_h,96
155,1014,sparse_edit_or_object_completion,2,flip_v,96
73,910,sparse_edit_or_object_completion,0,,
95,910,sparse_edit_or_object_completion,0,,
98,910,sparse_edit_or_object_completion,0,,
120,910,sparse_edit_or_object_completion,0,,
147,910,sparse_edit_or_object_completion,0,,
151,910,sparse_edit_or_object_completion,0,,
171,910,sparse_edit_or_object_completion,0,,
266,910,sparse_edit_or_object_completion,0,,
272,910,sparse_edit_or_object_completion,0,,
283,910,sparse_edit_or_object_completion,0,,
294,910,sparse_edit_or_object_completion,0,,
331,910,sparse_edit_or_object_completion,0,,
15,900,sparse_edit_or_object_completion,0,,
127,900,sparse_edit_or_object_completion,0,,
220,900,sparse_edit_or_object_completion,0,,
230,900,sparse_edit_or_object_completion,0,,
282,900,sparse_edit_or_object_completion,0,,
317,900,sparse_edit_or_object_completion,0,,
339,884,crop_or_resize,0,,
322,867,sparse_edit_or_object_completion,0,,
129,807,sparse_edit_or_object_completion,0,,
111,797,crop_or_resize,0,,
144,786,crop_or_resize,0,,
318,739,crop_or_resize,0,,
26,738,crop_or_resize,0,,
380,728,sparse_edit_or_object_completion,2,rot90_ccw,128
167,685,sparse_edit_or_object_completion,0,,
236,643,crop_or_resize,0,,
334,609,crop_or_resize,0,,
373,524,sparse_edit_or_object_completion,0,,
393,459,crop_or_resize,0,,
149,437,crop_or_resize,0,,
87,368,sparse_edit_or_object_completion,2,rot180,128
140,368,sparse_edit_or_object_completion,2,rot180,128
186,364,sparse_edit_or_object_completion,0,,
135,360,crop_or_resize,2,crop_tr,96
67,315,crop_or_resize,0,,
56,213,crop_or_resize,0,,
261,200,sparse_edit_or_object_completion,0,,
103,193,crop_or_resize,0,,
258,160,sparse_edit_or_object_completion,0,,
326,160,crop_or_resize,2,crop_tl,96
53,30,sparse_edit_or_object_completion,0,,
113,30,sparse_edit_or_object_completion,0,,
116,30,crop_or_resize,0,,
164,30,crop_or_resize,0,,
172,30,crop_or_resize,0,,
210,30,crop_or_resize,0,,
311,30,crop_or_resize,0,,
385,30,sparse_edit_or_object_completion,0,,
16,10,sparse_edit_or_object_completion,8,"identity+lut{""1"": 5, ""2"": 6, ""3"": 4, ""4"": 3, ""5"": 1, ""6"": 2, ""8"": 9, ""9"": 8}",160
276,10,sparse_edit_or_object_completion,2,"identity+lut{""6"": 2, ""7"": 7}",132
309,10,sparse_edit_or_object_completion,2,"identity+lut{""1"": 1, ""7"": 5, ""8"": 8}",132
337,10,sparse_edit_or_object_completion,2,"identity+lut{""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 8, ""6"": 6, ""7"": 7, ""8"": 5, ""9"": 9}",136
179,0,sparse_edit_or_object_completion,2,transpose,96
241,0,sparse_edit_or_object_completion,2,transpose,96
