task_id,source,baseline_cost,new_cost,baseline_points,new_points,removed_initializers,baseline_file_bytes,new_file_bytes,status,reason
164,massimilianoghiotto_6254,30,30,21.598802618337846,21.598802618337846,0,503,503,unchanged,no unused initializers
165,massimilianoghiotto_6254,67524,67524,13.87976163077872,13.87976163077872,0,5384,5384,unchanged,no unused initializers
166,massimilianoghiotto_6254,24789,24789,14.881844714630706,14.881844714630706,0,1433,1433,unchanged,no unused initializers
167,afr1ste_5689_artifact,685,685,18.470581161737776,18.470581161737776,0,1744,1744,unchanged,no unused initializers
168,massimilianoghiotto_6254,20403,20403,15.076562772156251,15.076562772156251,0,4677,4677,unchanged,no unused initializers
169,massimilianoghiotto_6254,23629,23629,14.929769949800432,14.929769949800432,0,22889,22889,unchanged,no unused initializers
170,massimilianoghiotto_6254,78564,78564,13.728331141770909,13.728331141770909,0,80838,80838,unchanged,no unused initializers
171,massimilianoghiotto_6254,910,910,18.186555400489105,18.186555400489105,0,3870,3870,unchanged,no unused initializers
172,massimilianoghiotto_6254,30,30,21.598802618337846,21.598802618337846,0,503,503,unchanged,no unused initializers
173,massimilianoghiotto_6254,175243,175243,12.926071138839562,12.926071138839562,0,10179,10179,unchanged,no unused initializers
174,massimilianoghiotto_6254,52019,52019,14.140635684557754,14.140635684557754,0,88405,88405,unchanged,no unused initializers
175,kojimar_5800_minimal_blend,23859,23859,14.920083216374755,14.920083216374755,0,5696,5696,unchanged,no unused initializers
176,massimilianoghiotto_6254,7920,7920,16.022853515191528,16.022853515191528,0,1206,1206,unchanged,no unused initializers
177,massimilianoghiotto_6254,61194,61194,13.978195575521427,13.978195575521427,0,3685,3685,unchanged,no unused initializers
178,massimilianoghiotto_6254,29331,29331,14.713599743826219,14.713599743826219,0,11178,11178,unchanged,no unused initializers
179,massimilianoghiotto_6254,0,0,25.0,25.0,0,178,178,unchanged,no unused initializers
180,afr1ste_5689_artifact,7450,7450,16.084030688626395,16.084030688626395,0,2610,2610,unchanged,no unused initializers
181,massimilianoghiotto_6254,1194,1194,17.91493570604745,17.91493570604745,0,3575,3575,unchanged,no unused initializers
182,massimilianoghiotto_6254,47625,47624,14.228886887570997,14.228907885166773,1,15554,15528,improved,ok
183,massimilianoghiotto_6254,24878,24878,14.87826084223009,14.87826084223009,0,6411,6411,unchanged,no unused initializers
184,massimilianoghiotto_6254,38855,38855,14.432407952356657,14.432407952356657,0,44106,44106,unchanged,no unused initializers
185,massimilianoghiotto_6254,59584,59584,14.00485763936326,14.00485763936326,0,23762,23762,unchanged,no unused initializers
186,massimilianoghiotto_6254,364,364,19.10284613236326,19.10284613236326,0,1253,1253,unchanged,no unused initializers
187,massimilianoghiotto_6254,105313,105313,13.435307852707972,13.435307852707972,0,7916,7916,unchanged,no unused initializers
188,afr1ste_5689_artifact,10664,10664,15.725371138141455,15.725371138141455,0,3972,3972,unchanged,no unused initializers
189,massimilianoghiotto_6254,24649,24649,14.887508389303385,14.887508389303385,0,11016,11016,unchanged,no unused initializers
190,massimilianoghiotto_6254,11204,11204,15.675973863620001,15.675973863620001,0,9783,9783,unchanged,no unused initializers
191,franksunp_blended_best,73993,73993,13.788274226882638,13.788274226882638,0,45679,45679,unchanged,no unused initializers
192,massimilianoghiotto_6254,51968,51968,14.14161657647865,14.14161657647865,0,2553,2553,unchanged,no unused initializers
193,massimilianoghiotto_6254,53661,53661,14.109558240338645,14.109558240338645,0,2282,2282,unchanged,no unused initializers
194,massimilianoghiotto_6254,1800,1800,17.504458056115745,17.504458056115745,0,7476,7476,unchanged,no unused initializers
195,massimilianoghiotto_6254,14229,14229,15.436962585454308,15.436962585454308,0,6269,6269,unchanged,no unused initializers
196,massimilianoghiotto_6254,32242,32242,14.618974770564057,14.618974770564057,0,3150,3150,unchanged,no unused initializers
197,massimilianoghiotto_6254,50688,50688,14.166555524825903,14.166555524825903,0,1646,1646,unchanged,no unused initializers
198,massimilianoghiotto_6254,103821,103821,13.449576458609688,13.449576458609688,0,8402,8402,unchanged,no unused initializers
199,massimilianoghiotto_6254,16157,16157,15.30989132872317,15.30989132872317,0,3260,3260,unchanged,no unused initializers
200,massimilianoghiotto_6254,8306,8306,15.975266575809302,15.975266575809302,0,4721,4721,unchanged,no unused initializers
201,massimilianoghiotto_6254,92700,92700,13.562876248446054,13.562876248446054,0,15537,15537,unchanged,no unused initializers
