task_id,template_name,route,baseline_cost,candidate_cost,baseline_points,candidate_points,file_bytes,validation_status,status,reason,sha256
13,signature_scatter_lookup,sparse_edit_or_object_completion,116882,92022,13.3310798421544,13.570217042121165,54431,25_pass_0_fail,improved,ok,7bdf06d331adc6efb317039a160326bb4342a372989e2c4280c5487e553f62e7
13,fixed_mask_rewrite,sparse_edit_or_object_completion,116882,,13.3310798421544,,,not_run,skipped,changed cell color conflict,
13,conv_color_map,sparse_edit_or_object_completion,116882,,13.3310798421544,,,not_run,skipped,conflicting color map,
13,constant_output,sparse_edit_or_object_completion,116882,,13.3310798421544,,,not_run,skipped,fit outputs differ,
18,fixed_geometry_identity,sparse_edit_or_object_completion,114578,,13.35098890724301,,,not_run,skipped,transform does not fit,
18,fixed_geometry_flip_h,sparse_edit_or_object_completion,114578,,13.35098890724301,,,not_run,skipped,transform does not fit,
18,fixed_geometry_flip_w,sparse_edit_or_object_completion,114578,,13.35098890724301,,,not_run,skipped,transform does not fit,
18,fixed_geometry_transpose_hw,sparse_edit_or_object_completion,114578,,13.35098890724301,,,not_run,skipped,transform does not fit,
18,fixed_geometry_rot90,sparse_edit_or_object_completion,114578,,13.35098890724301,,,not_run,skipped,transform does not fit,
18,fixed_geometry_rot180,sparse_edit_or_object_completion,114578,,13.35098890724301,,,not_run,skipped,transform does not fit,
18,fixed_geometry_rot270,sparse_edit_or_object_completion,114578,,13.35098890724301,,,not_run,skipped,transform does not fit,
18,signature_scatter_lookup,sparse_edit_or_object_completion,114578,79207,13.35098890724301,13.72018004226472,17429,24_pass_0_fail,improved,ok,129455e42bbb860293cbe6f642c5c68c70c82c72c6d7f22101427c34ac4dc1ec
18,fixed_mask_rewrite,sparse_edit_or_object_completion,114578,,13.35098890724301,,,not_run,skipped,changed cell color conflict,
18,conv_color_map,sparse_edit_or_object_completion,114578,,13.35098890724301,,,not_run,skipped,conflicting color map,
18,constant_output,sparse_edit_or_object_completion,114578,,13.35098890724301,,,not_run,skipped,fit outputs differ,
64,fixed_geometry_identity,sparse_edit_or_object_completion,114153,,13.354705067178468,,,not_run,skipped,transform does not fit,
64,fixed_geometry_flip_h,sparse_edit_or_object_completion,114153,,13.354705067178468,,,not_run,skipped,transform does not fit,
64,fixed_geometry_flip_w,sparse_edit_or_object_completion,114153,,13.354705067178468,,,not_run,skipped,transform does not fit,
64,fixed_geometry_transpose_hw,sparse_edit_or_object_completion,114153,,13.354705067178468,,,not_run,skipped,transform does not fit,
64,fixed_geometry_rot90,sparse_edit_or_object_completion,114153,,13.354705067178468,,,not_run,skipped,transform does not fit,
64,fixed_geometry_rot180,sparse_edit_or_object_completion,114153,,13.354705067178468,,,not_run,skipped,transform does not fit,
64,fixed_geometry_rot270,sparse_edit_or_object_completion,114153,,13.354705067178468,,,not_run,skipped,transform does not fit,
64,signature_scatter_lookup,sparse_edit_or_object_completion,114153,77502,13.354705067178468,13.74194097853993,10424,25_pass_0_fail,improved,ok,9dde35701fc2f404c7e097a86681a4a4062c8d133ae26d09dc39b20972118bef
64,fixed_mask_rewrite,sparse_edit_or_object_completion,114153,,13.354705067178468,,,not_run,skipped,changed cell color conflict,
64,conv_color_map,sparse_edit_or_object_completion,114153,,13.354705067178468,,,not_run,skipped,conflicting color map,
64,constant_output,sparse_edit_or_object_completion,114153,,13.354705067178468,,,not_run,skipped,fit outputs differ,
358,fixed_geometry_identity,sparse_edit_or_object_completion,113999,,13.356055044591665,,,not_run,skipped,transform does not fit,
358,fixed_geometry_flip_h,sparse_edit_or_object_completion,113999,,13.356055044591665,,,not_run,skipped,transform does not fit,
358,fixed_geometry_flip_w,sparse_edit_or_object_completion,113999,,13.356055044591665,,,not_run,skipped,transform does not fit,
358,fixed_geometry_transpose_hw,sparse_edit_or_object_completion,113999,,13.356055044591665,,,not_run,skipped,transform does not fit,
358,fixed_geometry_rot90,sparse_edit_or_object_completion,113999,,13.356055044591665,,,not_run,skipped,transform does not fit,
358,fixed_geometry_rot180,sparse_edit_or_object_completion,113999,,13.356055044591665,,,not_run,skipped,transform does not fit,
358,fixed_geometry_rot270,sparse_edit_or_object_completion,113999,,13.356055044591665,,,not_run,skipped,transform does not fit,
358,signature_scatter_lookup,sparse_edit_or_object_completion,113999,78978,13.356055044591665,13.723075388346537,15216,23_pass_0_fail,improved,ok,c512728694d74150b5de2ab73afc4da7e5adf3507d0f2a5dd6f4d8d057b8d3ed
358,fixed_mask_rewrite,sparse_edit_or_object_completion,113999,,13.356055044591665,,,not_run,skipped,changed cell color conflict,
358,conv_color_map,sparse_edit_or_object_completion,113999,,13.356055044591665,,,not_run,skipped,conflicting color map,
358,constant_output,sparse_edit_or_object_completion,113999,,13.356055044591665,,,not_run,skipped,fit outputs differ,
85,fixed_geometry_identity,sparse_edit_or_object_completion,113178,,13.36328292042622,,,not_run,skipped,transform does not fit,
85,fixed_geometry_flip_h,sparse_edit_or_object_completion,113178,,13.36328292042622,,,not_run,skipped,transform does not fit,
85,fixed_geometry_flip_w,sparse_edit_or_object_completion,113178,,13.36328292042622,,,not_run,skipped,transform does not fit,
85,fixed_geometry_transpose_hw,sparse_edit_or_object_completion,113178,,13.36328292042622,,,not_run,skipped,transform does not fit,
85,fixed_geometry_rot90,sparse_edit_or_object_completion,113178,,13.36328292042622,,,not_run,skipped,transform does not fit,
85,fixed_geometry_rot180,sparse_edit_or_object_completion,113178,,13.36328292042622,,,not_run,skipped,transform does not fit,
85,fixed_geometry_rot270,sparse_edit_or_object_completion,113178,,13.36328292042622,,,not_run,skipped,transform does not fit,
85,signature_scatter_lookup,sparse_edit_or_object_completion,113178,78662,13.36328292042622,13.727084528453883,16925,23_pass_0_fail,improved,ok,6b1154957ea6faeba39adff7bf53a7978aa327018ac7d1380fc1dc8886f5212c
85,fixed_mask_rewrite,sparse_edit_or_object_completion,113178,,13.36328292042622,,,not_run,skipped,fixed edit does not hold,
85,conv_color_map,sparse_edit_or_object_completion,113178,,13.36328292042622,,,not_run,skipped,conflicting color map,
85,constant_output,sparse_edit_or_object_completion,113178,,13.36328292042622,,,not_run,skipped,fit outputs differ,
205,fixed_geometry_identity,crop_or_resize,112313,,13.370955104619776,,,not_run,skipped,transform does not fit,
205,fixed_geometry_flip_h,crop_or_resize,112313,,13.370955104619776,,,not_run,skipped,transform does not fit,
205,fixed_geometry_flip_w,crop_or_resize,112313,,13.370955104619776,,,not_run,skipped,transform does not fit,
205,fixed_geometry_transpose_hw,crop_or_resize,112313,,13.370955104619776,,,not_run,skipped,transform does not fit,
205,fixed_geometry_rot90,crop_or_resize,112313,,13.370955104619776,,,not_run,skipped,transform does not fit,
205,fixed_geometry_rot180,crop_or_resize,112313,,13.370955104619776,,,not_run,skipped,transform does not fit,
205,fixed_geometry_rot270,crop_or_resize,112313,,13.370955104619776,,,not_run,skipped,transform does not fit,
205,signature_scatter_lookup,crop_or_resize,112313,89266,13.370955104619776,13.600624044716684,57197,24_pass_0_fail,improved,ok,2b4c5d51e2b31eac3e3e1e12f5a78b60971d5e6bed251ffbd83b05890442c3fb
205,fixed_slice_crop,crop_or_resize,112313,,13.370955104619776,,,not_run,skipped,no common fixed crop,
205,constant_output,crop_or_resize,112313,,13.370955104619776,,,not_run,skipped,fit outputs differ,
205,conv_color_map,crop_or_resize,112313,,13.370955104619776,,,not_run,skipped,shape mismatch,
110,fixed_geometry_identity,sparse_edit_or_object_completion,109201,,13.399054500239831,,,not_run,skipped,transform does not fit,
110,fixed_geometry_flip_h,sparse_edit_or_object_completion,109201,,13.399054500239831,,,not_run,skipped,transform does not fit,
110,fixed_geometry_flip_w,sparse_edit_or_object_completion,109201,,13.399054500239831,,,not_run,skipped,transform does not fit,
110,fixed_geometry_transpose_hw,sparse_edit_or_object_completion,109201,,13.399054500239831,,,not_run,skipped,transform does not fit,
110,fixed_geometry_rot90,sparse_edit_or_object_completion,109201,,13.399054500239831,,,not_run,skipped,transform does not fit,
